"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.830416660E-3,-6.213920859E-1,1.434857020E-1,-9.360784149E-1,1.132677831E0
1.588541668E-2,-7.387611991E-1,-2.329092175E-1,-2.502442238E0,2.619586221E0
2.594041667E-2,-8.196495339E-1,-2.341698772E-1,-3.199025717E0,3.310653474E0
3.599541666E-2,-9.213586342E-1,3.210910767E-2,-3.075255364E0,3.210471660E0
4.605041665E-2,-1.056766993E0,3.863673458E-1,-2.240624971E0,2.507276703E0
5.610641668E-2,-8.769744667E-1,6.441038409E-1,-1.187086519E0,1.610319340E0
6.616141667E-2,-4.841804463E-1,6.544232994E-1,-1.212069333E-1,8.230380793E-1
7.621641667E-2,-4.990730122E-1,5.338121974E-1,7.134059179E-1,1.021262619E0
8.627141666E-2,-6.549659210E-1,2.340938634E-1,1.390729837E0,1.554962950E0
9.632641668E-2,-4.995975074E-1,1.299549526E-1,8.733793062E-1,1.014533081E0
1.063824167E-1,-5.227346474E-1,-1.037512404E0,-1.381265534E0,1.804876166E0
1.164374167E-1,-3.981641033E-1,-1.026743587E0,-2.339579156E0,2.585801167E0
1.264924167E-1,-5.367624101E-1,-5.855390060E-1,-2.558044581E0,2.678537267E0
1.365474167E-1,-5.715106586E-1,-8.048473075E-1,-2.474325317E0,2.663961223E0
1.466024167E-1,-9.598996791E-1,-8.778933567E-1,-1.788776704E0,2.211747327E0
1.566574167E-1,-1.233760456E0,-1.040159438E0,-7.128989643E-1,1.764177274E0
1.667134167E-1,-7.046497124E-1,-1.241890571E0,1.452511518E0,2.036814453E0
1.767684167E-1,3.454798132E-1,-1.224536181E0,3.249673714E0,3.489874555E0
1.868234167E-1,1.222363648E0,-1.119293681E0,3.300958473E0,3.693686245E0
1.968784167E-1,1.778759985E0,-7.899599310E-1,3.009840809E0,3.584294278E0
2.069334167E-1,1.926306725E0,-3.057168830E-1,2.896198418E0,3.491716725E0
2.169894167E-1,1.844507101E0,2.710740306E-1,2.958919162E0,3.497268960E0
2.270444167E-1,1.567228627E0,7.257185461E-1,3.090680319E0,3.540505304E0
2.370994167E-1,1.300656989E0,1.042622285E0,2.659541720E0,3.138778742E0
2.471544167E-1,1.122692595E0,1.315055903E0,1.697609257E0,2.423156594E0
2.572094167E-1,1.075442415E0,1.541871591E0,7.348312855E-1,2.018395751E0
2.672644167E-1,1.232396008E0,1.547359934E0,-2.812803090E-2,1.978361411E0
2.773204167E-1,1.148535826E0,1.381572805E0,5.705713034E-3,1.796638671E0
2.873754167E-1,9.544085589E-1,7.762205822E-1,-4.444234729E-2,1.231011459E0
2.974304167E-1,5.245440683E-1,2.219331166E-1,-4.793097156E-1,7.444048571E-1
3.074854167E-1,9.319877028E-3,2.115635913E-1,-6.832573231E0,6.835854224E0
3.175404167E-1,7.433272898E-1,6.504040696E-1,-1.494260872E1,1.497521673E1
3.275964167E-1,6.458126897E-1,1.974542307E0,-2.243707039E0,3.057795387E0
3.376507083E-1,-5.793096748E-1,2.019448631E0,6.925810593E-1,2.212112338E0
3.477057083E-1,-1.457562343E0,1.149187206E0,1.109197513E0,2.162276195E0
3.577607083E-1,-8.853709222E-1,8.110488644E-1,1.633126162E0,2.027013318E0
3.678157083E-1,-2.857258008E-1,2.716183698E-1,3.439262080E-1,5.231644184E-1
3.778707083E-1,7.352493614E-2,-1.587445959E-1,1.925476420E-1,2.601544876E-1
3.879267083E-1,3.529673921E-1,-8.492121792E-1,-1.994098758E0,2.195945619E0
3.979817083E-1,9.236475268E-1,-1.309310283E0,-4.816737449E-1,1.673149057E0
4.080367083E-1,1.224117301E0,-7.941037796E-1,5.255611914E-1,1.550896046E0
4.180917083E-1,9.106268739E-1,-4.703395021E-1,-1.445616481E0,1.772080010E0
4.281467083E-1,8.548806893E-1,-1.678852558E-1,-3.494232339E0,3.601203423E0
4.382017083E-1,2.427600071E0,7.525954190E-1,-3.802115141E0,4.573370913E0
4.482577083E-1,2.601987284E0,9.949448200E-1,-2.626425430E0,3.828624238E0
4.583127083E-1,2.704457400E0,3.169667432E-1,-1.821594787E0,3.276089942E0
