"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.729875000E-3,4.921016693E-2,-1.194081251E0,-1.558405178E0,1.963893677E0
1.878487499E-2,-3.397220600E-1,-1.082303537E0,-2.694275935E0,2.923339672E0
2.883987498E-2,-7.180351585E-1,-6.370711023E-1,-3.165864987E0,3.308192134E0
3.889487500E-2,-6.720552859E-1,1.034694046E-2,-2.683947414E0,2.766828344E0
4.894987500E-2,-3.394808623E-1,4.716390458E-1,-1.557601771E0,1.662472232E0
5.900487499E-2,1.602505463E-1,6.852483585E-1,-6.737869388E-1,9.742866054E-1
6.905987501E-2,6.279959312E-1,1.049403009E0,-3.711268705E-1,1.278030015E0
7.911487500E-2,6.856532782E-1,1.138290043E0,-4.831530905E-1,1.413952456E0
8.916987499E-2,7.288908067E-1,1.290472016E0,-7.064933395E-1,1.641868652E0
9.922487498E-2,6.468613878E-1,1.369386038E0,-6.463944876E-1,1.646655280E0
1.092798750E-1,6.723040849E-1,1.422695104E0,-1.228865460E0,1.996538118E0
1.193348750E-1,6.060437295E-1,1.289562482E0,-1.042272622E0,1.765387384E0
1.293898750E-1,5.624378264E-2,9.723750061E-1,-7.317316765E-1,1.218239616E0
1.394448750E-1,-3.809858608E-1,6.133717525E-1,-1.028936877E0,1.257014809E0
1.494998750E-1,-4.324662092E-1,5.029108322E-1,-1.396684642E0,1.546180557E0
1.595548750E-1,-2.727644241E-1,7.254811491E-1,-2.117497813E0,2.254888094E0
1.696098750E-1,-1.266673556E-1,8.301729141E-1,-2.836496592E0,2.958199554E0
1.796648750E-1,-1.875745851E-1,7.333950631E-1,-3.351228155E0,3.435663356E0
1.897198750E-1,-2.275142840E-1,4.391732579E-1,-3.635050249E0,3.668545517E0
1.997748750E-1,4.029535577E-1,-1.361445227E-1,-4.092777307E0,4.114818706E0
2.098298750E-1,6.291139188E-1,-5.700181568E-1,-4.098952551E0,4.185942790E0
2.198848750E-1,9.108106957E-1,-7.703625492E-1,-3.659876942E0,3.849380965E0
2.299398750E-1,7.778129983E-1,-7.802621046E-1,-1.507821500E0,1.867438805E0
2.399948750E-1,9.001093409E-1,-8.032607934E-2,-3.148140907E-1,9.569519405E-1
2.500498750E-1,5.826135344E-1,7.153603497E-1,2.795618123E-1,9.640195886E-1
2.601048750E-1,1.796410463E-1,1.288939315E0,1.627664278E0,2.083968921E0
2.701598750E-1,4.300955105E-2,1.591360963E0,3.727140972E0,4.052882846E0
2.802148750E-1,1.150236854E-2,1.399649765E0,5.716004718E0,5.884884171E0
2.902698750E-1,-2.484445386E-3,7.198789318E-1,6.168455248E0,6.210319799E0
3.003248750E-1,4.788069282E-2,-3.469096036E-1,4.974021118E0,4.986333815E0
3.103798750E-1,1.500147487E-1,-1.220428804E0,3.482311621E0,3.693026552E0
3.204348750E-1,3.482627224E-2,-1.535275201E0,3.102173021E0,3.461467935E0
3.304898750E-1,7.708303265E-1,-1.010696634E0,1.577664152E0,2.026008701E0
3.405448750E-1,1.200025165E0,-5.360654220E-1,9.001683247E-1,1.593025281E0
3.505998750E-1,9.199134949E-1,-3.125754842E-1,2.926859463E0,3.083901845E0
3.606548750E-1,9.595039688E-1,-7.002617425E-1,4.124164576E0,4.291823368E0
3.707098750E-1,1.329739577E0,-1.608987687E0,4.394204198E0,4.864779466E0
3.807648750E-1,1.461343153E0,-2.372303391E0,3.748101486E0,4.670290348E0
3.908198750E-1,1.166024190E0,-2.185862727E0,2.904147708E0,3.817287281E0
4.008748750E-1,5.434857579E-1,-1.247317372E0,2.466102378E0,2.816529484E0
4.109298750E-1,-7.764291085E-1,-3.229284181E-1,1.959219532E0,2.132056777E0
4.209848750E-1,-4.021430605E-1,1.353561134E0,-1.031361718E0,1.748586222E0
4.310398750E-1,1.108115486E0,2.336563162E0,-3.036325772E0,3.988323148E0
4.410948750E-1,1.428990508E0,2.069802513E0,-3.399244321E0,4.228588212E0
4.511498750E-1,6.022942024E-1,1.109996609E0,-3.468982308E0,3.691705437E0
4.612048750E-1,-3.057355575E-2,-4.979230841E-1,-2.538597912E0,2.587149299E0
4.712598750E-1,-3.989219756E-1,-2.049397338E0,1.054020263E0,2.338830243E0
4.813148750E-1,5.292794359E-1,-2.698429213E0,3.319803464E0,4.310771622E0
4.913698750E-1,1.169831386E0,-2.213377093E0,3.111524473E0,3.993635959E0
5.014248750E-1,6.832138199E-1,-2.045940318E0,2.285216423E0,3.142430112E0
5.114798750E-1,1.231814210E0,-2.126986674E0,1.320549216E0,2.790213037E0
5.215348750E-1,1.635257472E0,-1.244705128E0,2.320017881E0,3.099329093E0
5.315898750E-1,1.844147644E0,-1.876888251E-1,2.853045967E0,3.402349029E0
5.416448750E-1,8.684186015E-1,8.461274075E-1,4.853698284E0,5.002846139E0
5.516998750E-1,1.358218478E-1,2.410293628E0,4.278270868E0,4.912388886E0
5.617548750E-1,6.412754696E-2,3.033077644E0,1.782400900E0,3.518611275E0
5.718098750E-1,-2.195677352E-1,1.842078753E0,-8.990836662E-1,2.061508079E0
5.818648750E-1,-4.631343802E-1,-9.614774041E-2,-2.287413806E0,2.335808161E0
5.919198750E-1,-9.847043719E-1,-1.411942951E0,-2.707723362E0,3.208580902E0
6.019748750E-1,-1.210274384E0,-1.450122346E0,-2.463673444E0,3.104401028E0
