"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.660208320E-3,-2.484921934E-1,1.513043064E-1,2.262463152E-1,3.685495332E-1
1.562620833E-2,-2.217321186E-1,8.495039552E-2,-1.631893569E-1,2.881188441E-1
2.559120834E-2,-3.517769721E-1,5.409113020E-2,-4.875250536E-1,6.036170693E-1
3.555620834E-2,-5.791441986E-1,8.923552752E-2,-6.219192123E-1,8.544907775E-1
4.552220833E-2,-7.010640536E-1,1.384825319E-1,-5.631166881E-1,9.098179067E-1
5.548720833E-2,-6.820932010E-1,1.125390208E-1,-4.185717630E-1,8.081574641E-1
6.545220834E-2,-5.204192962E-1,7.828544676E-3,-1.324809498E-1,5.370742332E-1
7.541720834E-2,-3.028192587E-1,-8.867594898E-2,1.507377112E-1,3.496924148E-1
8.538320832E-2,-2.498534252E-1,-6.458425105E-2,4.001945490E-1,4.761864515E-1
9.534820833E-2,-3.064698216E-1,-5.486705571E-2,3.882586277E-1,4.976734947E-1
1.053132083E-1,-4.316591473E-1,-1.038079584E-1,7.610326588E-2,4.504413599E-1
1.152792083E-1,-5.605722722E-1,-1.326686454E-1,-2.364403510E-1,6.226927665E-1
1.252442083E-1,-5.518188442E-1,-1.243480575E-1,-2.631784987E-1,6.238825198E-1
1.352092083E-1,-4.277011670E-1,-8.472469300E-2,-8.394087374E-2,4.440187295E-1
1.451752083E-1,-2.642501472E-1,-5.136866659E-2,1.326288843E-1,3.000954867E-1
1.551402083E-1,-1.304686305E-1,2.386219472E-2,2.371765155E-1,2.717428331E-1
1.651052083E-1,-5.036747709E-2,1.237893561E-1,2.592140865E-1,2.916378406E-1
1.750702083E-1,3.926990032E-3,1.532724792E-1,1.877155030E-1,2.423736458E-1
1.850362083E-1,1.265644446E-2,1.096075192E-1,-4.165556431E-2,1.179371862E-1
1.950012083E-1,-3.006199747E-3,6.270232469E-2,-2.658530152E-1,2.731637685E-1
2.049662083E-1,-6.778794050E-2,8.327721477E-2,-3.622794485E-1,3.778580397E-1
2.149322083E-1,-1.142233112E-1,1.116712940E-1,-3.131721926E-1,3.515597601E-1
2.248972083E-1,-7.078858539E-2,1.021034950E-1,-1.351993203E-1,1.836164582E-1
2.348622083E-1,5.098304272E-2,1.047973073E-1,-2.199839473E-2,1.185988011E-1
2.448282083E-1,8.477293253E-2,1.432380724E-1,-1.050411361E-1,1.968177730E-1
2.547932083E-1,2.214589074E-2,1.456094107E-1,-2.884484106E-1,3.238750169E-1
2.647582083E-1,-2.546184674E-2,1.118812090E-1,-4.570119435E-1,4.711959540E-1
2.747242083E-1,-1.013109049E-1,9.150278538E-2,-4.491918772E-1,4.694784359E-1
2.846892083E-1,-1.703386013E-1,1.022119609E-1,-3.804607809E-1,4.292003376E-1
2.946542083E-1,-2.019974734E-1,1.428433853E-1,-4.500648665E-1,5.135811485E-1
3.046192083E-1,-1.699901073E-1,1.596058908E-1,-5.940771103E-1,6.381992557E-1
3.145852083E-1,-9.899189919E-2,2.559472471E-1,-7.534435576E-1,8.018638188E-1
3.245502083E-1,-3.790559873E-1,2.815405101E-1,-7.441114014E-1,8.812776396E-1
3.345152083E-1,-1.116108484E0,2.057845688E-1,-2.848365855E-1,1.170118505E0
