"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.771833326E-3,-1.670803866E-1,-1.936252838E-1,-1.285802137E0,1.310989604E0
1.573783334E-2,-7.614925423E-1,-4.243523204E-1,-2.291055452E0,2.451301872E0
2.570283334E-2,-9.774056581E-1,-3.718946099E-1,-2.183385993E0,2.420909295E0
3.566883333E-2,-6.113404298E-1,-9.380308002E-2,-1.411511427E0,1.541071266E0
4.563383333E-2,6.064819783E-2,9.251172245E-3,-4.652664578E-1,4.692937937E-1
5.559983334E-2,7.944532970E-1,2.093507856E-2,2.841957307E-1,8.440151254E-1
6.556483335E-2,1.262036568E0,1.717143050E-1,4.132905579E-1,1.339041144E0
7.553083333E-2,2.011050421E0,9.337111697E-1,3.748831218E-1,2.248705783E0
8.549583334E-2,9.977706331E-1,1.848506597E-1,1.300888538E-1,1.023053817E0
9.546183335E-2,1.819595039E-2,-1.650724527E-1,-1.081608596E0,1.094283858E0
1.054268333E-1,6.037250161E-2,-2.488311857E-2,-1.467758133E0,1.469209973E0
1.153928333E-1,9.282652192E-1,1.363746107E-2,-8.911396390E-1,1.286853587E0
1.253578333E-1,1.241689427E0,-1.051427315E0,-2.886980867E-1,1.652464407E0
1.353238333E-1,1.145053078E0,-1.186437478E0,-6.455951732E-1,1.770755085E0
1.452888333E-1,1.536202423E-1,-7.697675219E-1,-1.071243237E0,1.328044912E0
1.552548333E-1,-2.950295980E-1,-1.745013803E-1,-1.375015445E0,1.417095858E0
1.652198333E-1,-5.723003981E-1,6.818935186E-1,-1.104829059E0,1.418856499E0
1.751858333E-1,-8.696895669E-1,1.089383931E0,-6.674801320E-1,1.545524836E0
1.851508333E-1,-1.857129047E-1,1.269970216E0,-3.485057473E-1,1.329951085E0
1.951168333E-1,1.110131899E0,1.577004879E0,-4.151850557E-1,1.972743230E0
2.050818334E-1,1.402659619E0,1.938318952E0,-4.257322633E-1,2.430181542E0
2.150478333E-1,6.592814586E-1,2.219227378E0,-5.627184927E-2,2.315769574E0
2.250128333E-1,1.068570474E0,1.382445210E0,-1.025912697E0,2.026201984E0
2.349788334E-1,1.768839014E0,7.654326886E-1,-9.547813189E-1,2.150880291E0
2.449438333E-1,1.155283805E0,-2.482148892E-1,2.351728501E0,2.631903920E0
2.549098333E-1,1.923714581E-1,-8.876453429E-1,1.869189368E0,2.078169850E0
2.648748333E-1,-1.792668611E-2,-7.801013061E-1,5.871352959E-1,9.765281714E-1
2.748408333E-1,-9.820186727E-1,-3.461811867E-1,-5.223317742E-1,1.164917409E0
2.848058333E-1,-1.252399187E0,-2.802769268E-1,-1.931818895E0,2.319263487E0
2.947718333E-1,-1.362069418E0,-3.044060469E-2,-2.242631151E0,2.624033957E0
3.047368334E-1,-1.078181981E0,7.650938424E-1,-2.590701866E0,2.908535908E0
3.147028333E-1,-6.889781512E-1,1.649331136E0,-1.769756881E0,2.515357530E0
3.246678333E-1,-6.129524706E-1,1.508213848E0,-5.780498922E-1,1.727588325E0
3.346338334E-1,-5.295115703E-1,8.882866363E-1,3.635424471E-1,1.096174604E0
3.445988333E-1,-7.178451240E-1,7.473384798E-1,1.159039764E0,1.554731360E0
3.545648333E-1,-1.340480401E-1,5.203060064E-1,1.806851617E0,1.885046414E0
3.645298333E-1,3.926864317E-1,5.141279845E-1,2.208038439E0,2.300861570E0
3.744958333E-1,-3.598547544E-1,6.653371274E-1,1.907726612E0,2.052215818E0
3.844608333E-1,-6.248646741E-1,7.616518790E-1,1.053088802E0,1.442069856E0
3.944258333E-1,-2.790984935E-1,1.116248963E0,-3.388683665E-1,1.199474671E0
4.043918333E-1,-6.239373788E-1,1.135977907E0,-1.535460119E0,2.009323627E0
4.143568334E-1,-1.323004608E0,6.844665858E-1,-1.819563464E0,2.351520125E0
