"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.283958337E-3,-8.988182026E-1,1.506257370E-1,-4.117025710E0,4.216688627E0
1.533895833E-2,-8.531381460E-1,3.490796515E-1,-5.567404164E0,5.643198599E0
2.539429168E-2,-7.234716073E-1,5.226238427E-1,-5.493807600E0,5.565830467E0
3.544829166E-2,-4.202069369E-1,6.311569360E-1,-3.356605255E0,3.441181743E0
4.550329168E-2,-2.941472532E-1,5.139708406E-1,-5.405031663E-1,8.017682360E-1
5.555829167E-2,-3.980879433E-1,1.711292911E-1,1.284654329E0,1.355763987E0
6.561329166E-2,-4.587389186E-1,-4.686835706E-2,2.175835483E0,2.224162334E0
7.566829165E-2,-2.482992353E-1,-7.561093032E-2,2.612248271E0,2.625111531E0
8.572229167E-2,1.544052310E-1,-5.382742077E-2,2.373403544E0,2.379029792E0
9.577729166E-2,2.781222278E-1,-4.678357244E-2,2.257236911E0,2.274787715E0
1.058322917E-1,1.549393742E-1,3.129049748E-1,2.603880905E0,2.627186994E0
1.158872917E-1,-1.780280554E-1,7.021623069E-1,1.204320018E0,1.405386993E0
1.259422917E-1,2.439399898E-2,7.346611315E-1,4.231536412E-1,8.481633389E-1
1.359962917E-1,7.679297420E-1,3.965543649E-1,-3.380672979E-1,9.280414597E-1
1.460512917E-1,1.474799935E0,-2.822772592E-2,-7.509707701E-1,1.655230724E0
1.561062917E-1,1.373140682E0,6.967191339E-2,2.089666235E-1,1.390696429E0
1.661612917E-1,1.157057631E0,4.740460521E-1,6.893744463E-1,1.427844231E0
1.762152917E-1,1.415005430E0,3.127649340E-1,-3.000030935E-2,1.449469658E0
1.862702917E-1,1.628259817E0,-7.858687073E-2,-1.762556035E0,2.400835210E0
1.963252917E-1,2.340136396E0,3.134028652E-1,-3.676806970E0,4.369596000E0
2.063802917E-1,3.644819777E0,4.352494839E-1,-3.761457696E0,5.255731854E0
2.164352917E-1,3.802280032E0,5.427715936E-1,-3.414370483E0,5.139052465E0
2.264892917E-1,2.096137349E0,1.336480540E-1,-2.132017618E0,2.992850266E0
2.365442917E-1,1.389868250E0,-1.557324028E-1,-3.095955677E0,3.397194120E0
2.465992917E-1,1.718824855E-1,-1.479722998E0,-4.181397707E0,4.438829860E0
2.566542917E-1,-1.215092343E-1,-7.766906253E-1,-1.626027058E0,1.806094354E0
2.667092917E-1,3.911989585E0,2.133309853E0,-7.835011697E-1,4.524217891E0
2.767632917E-1,5.759692190E0,1.292072107E0,5.345173717E-2,5.903080682E0
