"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.231208335E-3,-4.819710758E-1,-5.630253254E-1,-1.349087137E0,1.539262726E0
1.328620836E-2,-3.607483551E-1,-3.075347458E-1,-1.644970867E0,1.711913009E0
2.334020834E-2,-1.806460000E-1,7.166449830E-2,-1.678207026E0,1.689422268E0
3.339520836E-2,2.515698022E-1,4.722531496E-1,-1.240733553E0,1.351195823E0
4.344920834E-2,7.006300440E-1,6.665013081E-1,-7.831018049E-1,1.244329092E0
5.350420834E-2,9.956254359E-1,6.705491893E-1,-2.637871939E-1,1.229019897E0
6.355820835E-2,9.260463470E-1,4.512071201E-1,2.390259898E-1,1.057489067E0
7.361220833E-2,7.173039642E-1,1.523858951E-1,6.353362334E-1,9.702569595E-1
8.366720835E-2,6.729440627E-1,-6.496578187E-2,6.975810134E-1,9.714388990E-1
9.372120834E-2,6.741632071E-1,-1.789959888E-1,6.864525926E-1,9.786484332E-1
1.037762084E-1,6.243389364E-1,-2.608628552E-1,5.652374732E-1,8.816699710E-1
1.138302083E-1,4.465646502E-1,-2.408032510E-1,3.295315325E-2,5.084211864E-1
1.238852083E-1,3.272433709E-1,-2.362010537E-1,-4.327530152E-1,5.917383997E-1
1.339392083E-1,3.397387245E-1,-2.271004473E-1,-6.701581568E-1,7.849260915E-1
1.439942083E-1,3.622803987E-1,-2.247200458E-1,-9.518863624E-1,1.042992729E0
1.540482084E-1,2.843688083E-1,-2.131446053E-1,-1.087272794E0,1.143878652E0
1.641022083E-1,2.196137454E-1,-1.780304673E-1,-1.040710246E0,1.078426103E0
1.741572084E-1,4.323793781E-1,-1.489275594E-1,-9.704600430E-1,1.072811279E0
1.842112083E-1,4.364113987E-1,-3.363316981E-1,-1.070605305E0,1.204063802E0
1.942662084E-1,1.752566944E-1,-5.511344276E-1,-1.353408229E0,1.471794110E0
2.043202083E-1,1.120075820E-1,-6.461220074E-1,-1.617615838E0,1.745479976E0
2.143752083E-1,5.049505603E-2,-7.383967714E-1,-2.058460230E0,2.187472985E0
