"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.094041666E-3,-1.309386005E0,7.162114120E-1,-1.272581583E0,1.961355241E0
1.814904166E-2,-1.389316565E0,1.056153327E0,-1.608315842E0,2.373255194E0
2.820404165E-2,-1.298855169E0,1.189895521E0,-1.484886966E0,2.303858808E0
3.826004165E-2,-9.088771677E-1,1.374229580E0,-1.155807424E0,2.012574332E0
4.831504164E-2,-6.824925658E-1,1.353883023E0,-7.217218280E-1,1.679189608E0
5.837004166E-2,-6.187003201E-1,1.283148671E0,-1.271371794E-1,1.430183366E0
6.842504165E-2,-6.190377045E-1,1.133457611E0,2.160540336E-1,1.309432389E0
7.848004164E-2,-7.365167454E-1,1.098554996E0,3.157683563E-1,1.359775588E0
8.853504166E-2,-9.217930824E-1,1.097832280E0,1.268173367E-1,1.439104179E0
9.859004166E-2,-9.953282511E-1,1.163466107E0,-4.675609052E-1,1.600920020E0
1.086450416E-1,-1.410023018E0,1.083868252E0,-9.536270785E-1,2.018003941E0
1.187010416E-1,-1.991747154E0,1.102029704E0,-8.961086029E-1,2.446331299E0
1.287560416E-1,-2.318846537E0,1.247452881E0,-1.214532180E0,2.899702807E0
1.388110417E-1,-2.914839634E0,1.160343986E0,-1.563461266E0,3.505295906E0
1.488660417E-1,-3.437837114E0,8.920711005E-1,-1.528287340E0,3.866545883E0
1.589210416E-1,-3.554175655E0,4.894373855E-1,-9.032416213E-1,3.699670116E0
1.689760417E-1,-2.960317816E0,3.543979865E-1,3.132008439E-1,2.997861616E0
1.790310417E-1,-1.627315638E0,7.894346318E-1,1.905878892E0,2.627496446E0
1.890860416E-1,-2.041536342E-1,1.770339264E0,3.606121150E0,4.022423344E0
1.991420416E-1,5.302365520E-1,2.790690382E0,3.952605515E0,4.867462785E0
2.091970417E-1,2.754882399E-1,2.798054365E0,3.875742111E0,4.788149842E0
2.192520417E-1,3.923761273E-2,2.011590411E0,4.742083123E0,5.151251103E0
2.293070416E-1,6.702682306E-1,9.184133917E-1,6.476431605E0,6.575477853E0
2.393620416E-1,1.177832131E0,-3.782043403E-1,6.687689753E0,6.801141175E0
2.494170417E-1,5.901960574E-1,-1.084067935E0,4.210737281E0,4.387920137E0
2.594720417E-1,1.494056424E-1,-1.206229134E0,1.796161153E0,2.168756707E0
2.695270416E-1,-4.787320838E-1,-1.109279959E0,7.852712388E0,7.945110338E0
2.795830416E-1,-1.322675702E0,-2.697418229E0,5.209386751E0,6.013588483E0
2.896380417E-1,-2.428948000E0,-4.244788542E0,3.881262467E0,6.243574016E0
2.996930417E-1,-2.615215148E0,-3.512460449E0,3.700406333E0,5.733213384E0
3.097480416E-1,-3.529667343E-1,-1.177560820E0,2.970444024E0,3.214774129E0
3.198030416E-1,4.559772786E-1,-5.752309495E-1,2.869355605E0,2.961757504E0
3.298580417E-1,-1.037874931E-1,-1.501279635E0,2.224007185E0,2.685297068E0
3.399130417E-1,-1.666955813E0,-3.061226724E0,1.266456624E0,3.708606628E0
3.499680416E-1,-2.407701703E0,-4.021828946E0,2.441966826E-1,4.693800974E0
3.600240416E-1,-1.672893076E0,-3.946422084E0,5.961552107E-1,4.327611298E0
3.700790417E-1,-1.229104465E0,-5.132858393E0,2.339527701E0,5.773241977E0
3.801340417E-1,-1.302445652E0,-6.012158005E0,3.725220162E0,7.191639160E0
3.901890416E-1,6.694506437E-2,-5.936445917E0,3.697540612E0,6.994117411E0
4.002440417E-1,-1.483581868E-1,-6.212950805E0,3.080730112E0,6.936401508E0
4.102990417E-1,-5.941864532E-1,-6.252570954E0,1.176788988E0,6.390033912E0
4.203540416E-1,-6.358972737E-1,-5.961233434E0,-1.431216543E0,6.163525792E0
4.304090416E-1,-1.411923655E0,-5.404200189E0,-3.761209774E0,6.733914690E0
4.404650416E-1,-1.778361351E0,-4.648638185E0,-5.885060586E0,7.707551114E0
4.505200417E-1,-2.093745253E0,-4.014521681E0,-7.463133459E0,8.729176052E0
4.605754167E-1,-2.716169665E0,-3.376426147E0,-7.989548929E0,9.089044133E0
4.706304166E-1,-3.352987583E0,-2.776082575E0,-6.817363454E0,8.088609563E0
4.806854167E-1,-3.801850846E0,-2.348788521E0,-4.641791680E0,6.443377017E0
4.907404167E-1,-3.849438996E0,-1.856220244E0,-3.087286887E0,5.272103423E0
