"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.777750003E-3,-5.522665948E-1,-1.194934067E-1,-1.216903811E0,1.341689960E0
1.174275001E-2,-7.915261808E-1,6.187611312E-2,-1.850627382E0,2.013743791E0
2.170875002E-2,-8.554868263E-1,3.893210667E-1,-1.681035324E0,1.925956480E0
3.167475000E-2,-8.252480967E-1,6.375420955E-1,-1.100637190E0,1.516211254E0
4.163975001E-2,-8.263634531E-1,6.774727312E-1,-4.748389345E-1,1.169323681E0
5.160575002E-2,-8.318705070E-1,5.142602777E-1,8.872857392E-2,9.820106586E-1
6.157075000E-2,-7.715729959E-1,1.842361173E-1,4.302451444E-1,9.024293431E-1
7.153675001E-2,-7.991339931E-1,-2.399042416E-1,5.310599130E-1,9.890368119E-1
8.150175001E-2,-7.728339480E-1,-6.817999631E-1,3.280510175E-1,1.081545640E0
9.146775000E-2,-7.095767225E-1,-1.043583568E0,-1.002136749E-1,1.265941771E0
1.014327500E-1,-7.226487578E-1,-1.076630861E0,-5.244671774E-1,1.398721223E0
1.113987500E-1,-8.151154567E-1,-8.388389263E-1,-8.722437769E-1,1.459065851E0
1.213647500E-1,-8.852675727E-1,-3.981503624E-1,-1.032414216E0,1.417074981E0
1.313297500E-1,-8.622229649E-1,4.180817664E-2,-1.028970206E0,1.343114310E0
1.412957500E-1,-6.801308754E-1,3.372951731E-1,-9.868772703E-1,1.245099509E0
1.512607500E-1,-3.836505832E-1,4.639964426E-1,-9.356217474E-1,1.112595399E0
1.612267500E-1,-1.059864847E-1,4.639192593E-1,-7.999733609E-1,9.308123292E-1
1.711917500E-1,7.816601738E-2,3.050957260E-1,-4.982880235E-1,5.894779747E-1
1.811577500E-1,1.874256273E-1,1.347783208E-4,-4.438036680E-3,1.874782123E-1
1.911227500E-1,1.734776790E-1,-1.965632173E-1,5.532027340E-1,6.121804215E-1
2.010887500E-1,6.682592735E-2,-3.367095745E-1,8.988497776E-1,9.621694054E-1
2.110537500E-1,2.939497635E-2,-4.325390071E-1,1.051679623E0,1.137534213E0
2.210197500E-1,7.567071810E-2,-4.840564853E-1,1.000173254E0,1.113724956E0
2.309857500E-1,1.830513252E-1,-3.595441210E-1,7.863054943E-1,8.837737793E-1
2.409507500E-1,2.761572710E-1,-1.341763499E-1,4.363870597E-1,5.335726727E-1
2.509167500E-1,3.805647151E-1,8.809590518E-2,2.760634232E-1,4.783318979E-1
2.608817500E-1,4.546473294E-1,3.418068847E-1,4.310894823E-1,7.137046184E-1
2.708477500E-1,4.289761524E-1,5.701959121E-1,5.455025357E-1,8.981742225E-1
2.808127500E-1,2.335550424E-1,6.001982680E-1,5.768482894E-1,8.646038791E-1
2.907787500E-1,-1.561947714E-1,3.040493667E-1,3.937965256E-1,5.214580784E-1
3.007437500E-1,-6.653258716E-1,-1.813584101E-1,-2.940506279E-2,6.902275321E-1
3.107097500E-1,-1.044544704E0,-6.177124330E-1,-2.880449528E-1,1.247241830E0
3.206757500E-1,-1.133167735E0,-8.779769719E-1,-6.550583071E-1,1.576075527E0
3.306407500E-1,-7.625197519E-1,-1.288682768E0,-9.641351098E-1,1.780925647E0
3.406067500E-1,1.909991531E-1,-1.082856684E0,-1.101237699E0,1.556208130E0
3.505717500E-1,9.796648760E-1,-5.302024189E-1,-8.926417887E-1,1.427468822E0
3.605377500E-1,1.926160837E0,-2.327232760E-1,-6.996023959E-1,2.062449806E0
3.705027500E-1,2.646372621E0,-8.785499990E-2,-1.087652863E0,2.862515555E0
3.804687500E-1,3.313232071E0,-1.856078741E-1,-1.928204731E0,3.837959161E0
3.904337500E-1,3.337480182E0,-5.309941319E-1,-2.533539485E0,4.223689271E0
4.003997500E-1,2.934392138E0,-9.890249527E-1,-2.356610341E0,3.891328806E0
4.103657500E-1,1.825062770E0,-1.035647288E0,-1.765590155E0,2.742394577E0
4.203307500E-1,9.488817707E-1,-7.621081080E-1,-9.063184261E-1,1.517431538E0
4.302967500E-1,7.065360242E-1,-2.612465787E-1,2.491790950E-1,7.934312508E-1
4.402617500E-1,7.907626806E-1,4.563497463E-1,1.576867177E0,1.822106144E0
4.502277500E-1,1.578165259E0,8.128717339E-1,2.488744551E0,3.056994517E0
4.601927500E-1,2.679468154E0,8.140479013E-2,2.245233747E0,3.496748619E0
4.701587500E-1,3.342720457E0,-9.856285974E-1,4.719714600E-1,3.516816862E0
4.801237500E-1,2.913011794E0,-1.839432303E0,-1.145216947E0,3.630519352E0
4.900897500E-1,2.552145033E0,-1.595929246E0,-1.640802972E0,3.428216566E0
5.000557500E-1,1.830612216E0,-6.595163704E-1,-1.377158450E0,2.383834794E0
5.100207500E-1,4.019149825E-1,-5.078958759E-1,7.523062742E-1,9.927026766E-1
5.199867500E-1,-5.210891678E-1,-1.653727072E0,3.609931195E0,4.004740989E0
5.299517500E-1,8.994991109E-3,-2.612021983E0,1.192410994E0,2.871338317E0
5.399177500E-1,-3.861479290E-2,-3.281736629E0,2.944125706E-1,3.295142662E0
5.498827500E-1,-5.641068410E-1,-2.783665537E0,-1.261589402E0,3.107831747E0
5.598487500E-1,-7.582471915E-1,-1.726236347E0,-3.675525261E0,4.130897804E0
5.698137500E-1,-7.092795378E-1,-1.177153269E0,-5.472116184E0,5.642058384E0
5.797797500E-1,-3.249506776E-1,-6.050675368E-1,-5.303807589E0,5.348090745E0
5.897457500E-1,-1.019494940E-1,4.162480795E-1,-3.451106200E0,3.477612711E0
5.997107500E-1,3.352647275E-4,1.428887305E0,-1.835748557E0,2.326304324E0
6.096767500E-1,1.045179931E-1,1.705688939E0,-3.786393732E-1,1.750333266E0
6.196417500E-1,2.598777455E-1,1.120104032E0,6.634344435E-1,1.327522033E0
6.296077500E-1,1.972270956E-1,3.256359713E-1,1.149538624E0,1.210940279E0
6.395727500E-1,1.669661466E-1,-2.741839819E-1,1.345789892E0,1.383547969E0
6.495387500E-1,1.541635035E-1,-6.475778179E-1,9.382670277E-1,1.150420980E0
6.595037500E-1,1.254091627E-1,-8.297869979E-1,2.862896186E-1,8.866993096E-1
