"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.452916685E-3,-2.781783611E-1,-2.848810244E-1,-1.023683739E-1,4.111200343E-1
1.641891667E-2,-6.049295425E-2,-1.247181863E-1,6.742015064E-2,1.541411697E-1
2.638491668E-2,-7.756331563E-4,-9.034123600E-2,2.973104507E-1,3.107340416E-1
3.634991669E-2,-2.145505683E-1,-2.422916597E-1,4.806107211E-1,5.794168275E-1
4.631591667E-2,-3.941374183E-1,-2.334834141E-1,5.131732804E-1,6.878994293E-1
5.628191668E-2,-3.261297686E-1,-1.559744775E-1,4.260790032E-1,5.587772191E-1
6.624691669E-2,-2.298103394E-1,-2.163908333E-1,4.279349095E-1,5.317575308E-1
7.621291667E-2,-1.410924366E-1,-3.262050515E-1,4.849581259E-1,6.012496946E-1
8.617891668E-2,3.773646802E-3,-4.455625105E-1,4.767527282E-1,6.525590816E-1
9.614391669E-2,1.764735000E-1,-4.570990670E-1,3.798626107E-1,6.199823032E-1
1.061099167E-1,2.875769562E-1,-3.813969201E-1,5.958955944E-2,4.813678760E-1
1.160759167E-1,3.066844875E-1,-3.115723944E-1,-4.267221969E-1,6.109210793E-1
1.260409167E-1,2.397280211E-1,-2.738309562E-1,-6.232687497E-1,7.217456969E-1
1.360069167E-1,1.288626927E-1,-2.209072226E-1,-6.104434669E-1,6.618510564E-1
1.459729167E-1,-8.945991442E-2,-1.196813947E-1,-6.334955299E-1,6.508788665E-1
1.559379167E-1,-3.329396553E-1,-2.312398374E-2,-6.736904597E-1,7.518260226E-1
1.659039167E-1,-4.794146731E-1,6.492982149E-2,-7.320450872E-1,8.774647117E-1
1.758699167E-1,-4.863891589E-1,1.257630837E-1,-6.806942546E-1,8.460114866E-1
1.858349167E-1,-4.437654418E-1,1.206391686E-1,-5.499224460E-1,7.168655892E-1
1.958009167E-1,-3.480285414E-1,1.123472321E-1,-4.581006950E-1,5.861757526E-1
2.057669167E-1,-1.928586408E-1,7.344921470E-2,-4.559448266E-1,5.004747020E-1
2.157319167E-1,-3.855661310E-2,-1.343748629E-2,-5.381636953E-1,5.397104237E-1
2.256979167E-1,1.538809551E-1,-7.512561142E-2,-6.806644338E-1,7.018741179E-1
2.356629167E-1,3.187526290E-1,-1.404337478E-1,-6.635315073E-1,7.493990507E-1
2.456289167E-1,3.488946602E-1,-1.660346121E-1,-4.677135175E-1,6.066719961E-1
2.555949167E-1,3.163353901E-1,-1.375194955E-1,-3.299981403E-1,4.773661732E-1
2.655599167E-1,2.422423238E-1,-5.574618459E-2,-2.228549302E-1,3.338462228E-1
