"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.296000007E-3,-2.225801110E-1,3.519737309E-1,-2.245885127E0,2.284168867E0
1.626100001E-2,-4.961458960E-1,8.294450819E-2,-2.469980836E0,2.520683612E0
2.622699999E-2,-3.840848851E-1,-5.017378807E-2,-2.379048446E0,2.410375514E0
3.619200000E-2,-1.627712810E-1,-9.181999683E-2,-1.840930944E0,1.850392429E0
4.615700000E-2,-1.012883931E-2,-1.374329567E-2,-8.071110570E-1,8.072916016E-1
5.612299999E-2,2.586323617E-1,8.143300295E-2,2.791951919E-1,3.891940231E-1
6.608799999E-2,6.809953862E-1,1.735354203E-1,9.454351294E-1,1.178013940E0
7.605400000E-2,9.669990760E-1,3.245923895E-1,1.314292111E0,1.663674002E0
8.601900001E-2,9.491337126E-1,3.613485718E-1,1.423988800E0,1.749048798E0
9.598400001E-2,6.952546987E-1,2.754178905E-1,1.090926719E0,1.322631928E0
1.059500000E-1,2.046957441E-1,5.883760750E-2,4.235418963E-1,4.740779996E-1
1.159150000E-1,-1.512435684E-1,-2.569722641E-1,-2.854008418E-1,4.127505324E-1
1.258810000E-1,-1.006091660E-1,-5.647346127E-1,-1.220329109E0,1.348425201E0
1.358460000E-1,-1.344615113E-1,-8.081635559E-1,-1.837951203E0,2.012280511E0
1.458110000E-1,-3.028765249E-1,-7.499089158E-1,-1.891481878E0,2.057134236E0
1.557770000E-1,-2.327397213E-1,-4.318057662E-1,-1.638945896E0,1.710779836E0
1.657420000E-1,2.293036781E-1,-6.922720340E-1,-1.277029560E0,1.470586700E0
1.757070000E-1,-2.281887786E-2,6.251141310E-2,-8.686565101E-2,1.094258620E-1
1.856730000E-1,2.414595461E-1,8.796296874E-1,7.563741821E-1,1.184969621E0
1.956380000E-1,9.921309936E-1,9.449764153E-1,8.437292451E-1,1.609093960E0
2.056040000E-1,1.264949797E0,4.296607152E-1,6.405963886E-1,1.481576880E0
2.155690000E-1,1.462322269E0,-1.503401005E-1,2.169164979E-1,1.485947957E0
2.255340000E-1,1.359736671E0,-6.911870831E-1,2.608723569E-1,1.547474647E0
2.355000000E-1,1.115351927E0,-1.031385691E0,7.072031915E-2,1.520778659E0
2.454650000E-1,1.220672853E0,-9.312345815E-1,-5.479431635E-1,1.630178447E0
2.554310000E-1,1.415108926E0,-7.177085915E-1,-1.186505306E0,1.981270738E0
2.653960000E-1,1.559167655E0,-4.699676192E-1,-1.623990473E0,2.299830080E0
