"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.230166717E-3,2.991689882E-1,1.052756095E-1,-3.721688443E-1,4.889730935E-1
1.523416664E-2,6.923804998E-2,2.999191859E-1,-9.379197031E-1,9.871366649E-1
2.523816668E-2,-9.936056614E-2,4.728289542E-1,-1.191016433E0,1.285285916E0
3.524316673E-2,-1.588352278E-2,5.462553647E-1,-1.177282493E0,1.297937316E0
4.524716665E-2,2.822376443E-1,5.375798509E-1,-1.077693300E0,1.236961209E0
5.525116669E-2,5.343245597E-1,5.747108397E-1,-8.481397998E-1,1.155481027E0
6.525516673E-2,7.688110636E-1,5.683373746E-1,-5.694872296E-1,1.112831311E0
7.525916665E-2,9.929193445E-1,5.350374815E-1,-1.704931140E-1,1.140711109E0
8.526316669E-2,1.179665891E0,4.982315978E-1,2.128000581E-1,1.298125650E0
9.526716673E-2,1.271962801E0,4.434811941E-1,4.602360982E-1,1.423510521E0
1.052711667E-1,1.114942988E0,3.846067491E-1,5.858483237E-1,1.316904885E0
1.152751667E-1,8.037850146E-1,3.420875511E-1,6.280728221E-1,1.075904137E0
1.252791667E-1,4.912570390E-1,2.651820472E-1,5.470163798E-1,7.815893528E-1
1.352831667E-1,2.595795375E-1,1.530230954E-1,2.911521631E-1,4.190073820E-1
1.452871667E-1,1.420814931E-1,1.077875733E-2,-6.630917966E-2,1.571630988E-1
1.552911667E-1,3.772996299E-2,-9.229479074E-2,-3.779932559E-1,3.909229847E-1
1.652951667E-1,-1.339893852E-1,-5.267288804E-2,-5.675155485E-1,5.854925160E-1
1.752991667E-1,-2.197016729E-1,5.903202742E-2,-6.313998878E-1,6.711329404E-1
1.853031666E-1,-1.613192712E-1,1.757903990E-1,-5.028780878E-1,5.566080693E-1
1.953071667E-1,-2.864360914E-2,3.261714301E-1,-1.505090851E-1,3.603626546E-1
2.053111667E-1,1.249549254E-1,3.527981883E-1,1.243995130E-1,3.944052914E-1
2.153151666E-1,2.491418921E-1,2.723302683E-1,1.985457158E-1,4.191131813E-1
2.253191667E-1,2.639024571E-1,2.379161882E-1,2.369531518E-1,4.270777630E-1
2.353231667E-1,1.572092633E-1,2.263404554E-1,2.724597842E-1,3.875294675E-1
2.453271666E-1,-2.178774878E-2,2.506163406E-1,4.282600147E-1,4.966788664E-1
2.553311667E-1,-1.696056894E-1,2.389567003E-1,6.029198545E-1,6.703571775E-1
2.653351667E-1,-2.266654144E-1,2.112487918E-1,6.717304730E-1,7.397466394E-1
2.753391666E-1,-1.596969612E-1,6.844312102E-2,5.327094126E-1,5.603274922E-1
2.853431667E-1,-1.518978353E-1,-7.233151942E-2,3.280001467E-1,3.686311128E-1
2.953471667E-1,-2.643384767E-1,-1.375738746E-1,1.102065665E-1,3.177214008E-1
3.053511666E-1,-3.654936264E-1,-1.822457251E-1,-5.591633856E-2,4.122204898E-1
3.153551667E-1,-4.069011591E-1,-1.157570359E-1,-5.133036733E-2,4.261490951E-1
3.253591667E-1,-3.894793801E-1,-4.856653467E-2,-1.152772719E-1,4.090742539E-1
3.353641666E-1,-3.392345484E-1,-9.786484838E-2,-3.227458388E-1,4.783539315E-1
3.453681667E-1,-1.686121378E-1,-1.593078290E-1,-6.377464557E-1,6.786232969E-1
3.553721667E-1,-2.387578949E-2,-1.944307378E-1,-8.423779535E-1,8.648548906E-1
3.653761667E-1,5.086313825E-2,-1.634413719E-1,-9.027621496E-1,9.188469076E-1
3.753801667E-1,1.154679642E-1,-5.826794252E-2,-8.062918621E-1,8.165993943E-1
3.853841667E-1,1.512942565E-1,5.750400379E-2,-5.414398903E-1,5.651139861E-1
3.953881667E-1,1.078507415E-1,1.369010063E-1,-1.889042419E-1,2.570184440E-1
4.053921667E-1,1.248751292E-1,1.357647461E-1,1.273658055E-1,2.241604617E-1
4.153961667E-1,2.428205038E-1,-2.529271603E-2,1.397022611E-1,2.812796479E-1
4.254001667E-1,3.946913689E-1,-3.089183432E-1,-4.910842538E-2,5.036104217E-1
4.354041667E-1,5.563612537E-1,-5.830318661E-1,-1.013731778E-1,8.122441275E-1
4.454081667E-1,7.579847977E-1,-7.672171126E-1,-1.023941016E-1,1.083350176E0
4.554121667E-1,8.673185941E-1,-8.999142632E-1,-1.835224646E-1,1.263237001E0
4.654161667E-1,8.397793778E-1,-1.011163096E0,-3.935714078E-1,1.372070939E0
4.754201667E-1,6.646136807E-1,-9.382183497E-1,-5.700661039E-1,1.283331749E0
4.854241667E-1,4.939206650E-1,-6.652299772E-1,-6.364852113E-1,1.044797574E0
4.954281667E-1,3.070153669E-1,-2.782784946E-1,-6.753978467E-1,7.923759255E-1
5.054321666E-1,4.386318058E-2,1.275438532E-2,-7.882298130E-1,7.895523358E-1
5.154361667E-1,-1.086376580E-1,2.763395579E-1,-7.343828040E-1,7.921387472E-1
5.254401667E-1,-1.578109052E-1,5.373781219E-1,-5.833047849E-1,8.086556744E-1
5.354441666E-1,-2.005879472E-1,6.703929225E-1,-3.668812072E-1,7.901038003E-1
5.454481667E-1,-1.391193211E-1,7.553152514E-1,-1.405384129E-1,7.807729247E-1
5.554521667E-1,4.219476895E-2,7.420261382E-1,3.301688790E-2,7.439578638E-1
5.654561666E-1,1.510156367E-1,6.965381625E-1,1.933797008E-1,7.384895687E-1
5.754601667E-1,9.357705773E-2,6.282325973E-1,2.979244083E-1,7.015638353E-1
5.854641667E-1,-1.306362080E-2,6.202732211E-1,3.673659414E-1,7.210182119E-1
5.954681666E-1,-3.541517822E-2,6.688657759E-1,3.953331739E-1,7.777685899E-1
6.054721667E-1,-1.220419887E-1,7.288785276E-1,4.232319939E-1,8.516357647E-1
6.154771667E-1,-3.137310402E-1,7.478327157E-1,3.939918226E-1,9.016154904E-1
6.254811666E-1,-5.227403484E-1,7.260885286E-1,3.395817268E-1,9.569627853E-1
6.354851667E-1,-6.473402748E-1,6.644106361E-1,2.813399506E-1,9.693518930E-1
6.454900417E-1,-6.439114675E-1,6.249029003E-1,3.184376103E-1,9.521177051E-1
6.554940416E-1,-5.885242289E-1,6.312705182E-1,3.963336325E-1,9.497071039E-1
6.654980417E-1,-5.822519206E-1,5.636654493E-1,3.502932411E-1,8.828597808E-1
6.755020417E-1,-5.636981572E-1,4.937869830E-1,2.109055603E-1,7.785000658E-1
6.855060416E-1,-5.462212681E-1,4.375776990E-1,2.831923485E-2,7.004526361E-1
6.955100417E-1,-5.747911293E-1,3.565525393E-1,-1.464394230E-1,6.920686817E-1
7.055140417E-1,-5.442062080E-1,2.310471717E-1,-3.516737688E-1,6.879081566E-1
7.155180416E-1,-4.182622992E-1,1.465917429E-1,-4.908679068E-1,6.613499769E-1
7.255220417E-1,-2.350932804E-1,9.915708303E-2,-6.507875007E-1,6.990174166E-1
7.355260417E-1,-5.062884763E-2,7.170148194E-3,-9.455970973E-1,9.469786490E-1
7.455300416E-1,7.370927875E-2,-1.313369420E-1,-1.420847091E0,1.428806812E0
7.555340417E-1,1.533785879E-1,-2.025284006E-1,-1.981682196E0,1.997900665E0
7.655380417E-1,1.582108000E-1,-2.273281963E-1,-2.504633775E0,2.519900615E0
7.755420416E-1,9.280109567E-2,-2.527185608E-1,-2.974733541E0,2.986891085E0
7.855460417E-1,6.044502536E-2,-2.970670603E-1,-3.237117403E0,3.251281520E0
7.955500417E-1,3.797702612E-2,-2.922072932E-1,-3.279507962E0,3.292719216E0
8.055540416E-1,1.577788917E-2,-2.871501826E-1,-3.196798512E0,3.209707915E0
8.155580417E-1,-5.415402431E-2,-2.717234735E-1,-3.095114263E0,3.107490725E0
8.255620417E-1,-1.716802450E-1,-2.970211597E-1,-3.018488256E0,3.037921498E0
8.355660416E-1,-1.302310143E-1,-2.603234495E-1,-2.974587945E0,2.988796055E0
8.455700417E-1,-1.955674365E-3,-1.788131171E-1,-2.957473145E0,2.962874510E0
8.555740417E-1,1.147486836E-2,-6.555854335E-2,-2.985029903E0,2.985771779E0
8.655780416E-1,4.190487497E-2,7.226661533E-2,-2.991306304E0,2.992472538E0
