time,x,y,z
0.001861041674,-0.7698699944,-0.7024356642,-2.621388053
0.01182604168,-0.6527708763,-0.029961133,-1.363308735
0.02179204169,-0.03064364925,0.2799342799,0.3498044139
0.03175804167,0.4865137777,0.2236828959,1.115166351
0.04172304168,0.7527930549,0.2112891376,0.9448597634
0.05168904166,0.5378271881,0.2672665796,0.2660488969
0.06165404167,0.1940481837,0.2526695904,-0.7170329458
0.07162004168,-0.08625242427,0.1406845933,-1.358811057
0.08158504168,-0.214014671,-0.1272096848,-1.356618935
0.09155104167,-0.4060689542,-0.5459080401,-1.318477548
0.1015160417,-0.4499479222,-0.8179240206,-1.541871591
0.1114820417,-0.1925577284,-0.9933100846,-1.430418398
0.1214470417,-0.05754171833,-0.9537074777,-1.059282757
0.1314130417,-0.0292879723,-0.2534066319,-0.6718678826
0.1413780417,0.09253657311,0.4537816492,-0.3890941948
0.1513440417,0.3216483164,0.7953964528,-0.04707300961
0.1613090417,0.2710397878,0.5793430039,0.653290109
0.1712750417,-0.05984215915,-0.6185164252,0.6509097075
0.1812400417,-0.3021441977,-0.6410024777,0.6660113114
0.1912060417,-0.4547438085,0.0274406907,0.5923814178
0.2011710417,-0.734074802,0.1113920894,-0.213501724
0.2111370417,-1.12966613,0.000824457407,-0.7230737042
0.2211012917,-1.59609253,-0.1507163689,-1.103918062
0.2310672917,-1.738155312,-0.1890656251,-1.031243019
0.2410322917,-1.072242672,0.1348443943,-0.4755984879
0.2509982917,-0.1764688953,0.4803689387,0.4578609592
0.2609632917,0.6728182744,0.5046921864,1.205447361
0.2709292917,0.8846163391,0.3532665503,1.225240186
0.2808942917,0.1638532352,0.2234583628,0.6114667296
0.2908602917,-0.9199916283,-0.09827122986,-0.4575761998
0.3008252917,-1.305670684,-0.5627801809,-1.667336467
0.3107912917,-1.030239637,-1.289757194,-0.7433559412
0.3207562917,-1.188757142,-2.652510151,6.62460999
0.3307222917,3.053913027,-3.283062192,0.5638586998
0.3406872917,2.985094222,-4.492420464,-0.7582435369
0.3506532917,2.376426116,-2.939389461,-3.927871792
0.3606182917,1.649904894,-1.440638454,-4.215645434
0.3705842917,0.2581918471,-0.9390230727,-3.23997026
0.3805492917,-0.5216191448,0.3289447644,-2.136877239
0.3905152917,-0.4599754585,1.772791294,-0.388404808
0.4004802917,0.6934816767,1.917103499,0.6590613109
0.4104462917,1.483439927,0.3873312593,-0.3741487116
0.4204112917,2.26549698,-0.947681922,-1.119712561
0.4303772917,3.129048579,-1.507477684,-1.192855967
0.4403422917,3.758094378,-1.743521301,-1.632948407
0.4503082917,3.037492584,-1.474616332,-2.040980564
0.4602742917,2.070385627,-1.108482984,-2.955017899
0.4702392917,1.966741098,-1.096252947,-4.17475644
0.4802052917,1.844038593,-1.106004934,-4.266812664
0.4901702917,0.7708314228,-1.118072417,-2.770968601
0.5001362917,-0.5400897682,-1.452299849,-1.163809923
0.5101012917,-1.348353458,-2.467356313,2.440935962
0.5200672917,-3.596651584,-3.767270413,-0.5637838554
0.5300322917,-2.210683865,-5.123704576,-4.596715495
0.5399982917,2.122050747,-4.943194013,-8.302953256
0.5499632917,2.55216199,-3.364049053,-8.654618838
0.5599292917,2.330285299,-2.050410076,-8.657631324
0.5698942917,1.775193037,-1.861084542,-7.736327654
0.5798602917,1.367248004,-2.099675207,-4.916155318
0.5898252917,0.4147313118,-3.548067069,-3.484880887
0.5997912917,-0.9075065804,-6.11027019,-4.126087725
0.6097562917,-1.610909082,-7.947659476,-4.138739346
0.6197222917,-1.681334701,-8.694164143,-2.146513451
0.6296872917,-1.841178281,-9.114519891,-1.293284819
0.6396532917,-1.966725018,-8.893499233,-1.823036125
0.6496182917,-1.736545866,-7.618537833,-2.375684543
0.6595842917,-1.462683919,-6.657016429,-2.436973304
0.6695492917,-1.487034649,-6.596998268,-2.773875836
0.6795152917,-1.186642715,-6.687759334,-2.722272989
0.6894802917,-0.8077308619,-6.88766979,-2.008599853
0.6994462917,-1.325031692,-7.541801898,-1.033654411
0.7094112917,-2.526238067,-8.668603624,0.2491065896
0.7193772917,-3.84578741,-9.704101077,1.761575457
0.7293422917,-3.748558154,-9.841704773,3.695304637
0.7393082917,-2.177569767,-9.111241942,6.192972624
0.7492732917,0.1355665255,-7.70606305,8.325820547
0.7592392917,2.397581196,-6.133923932,9.009350116
0.7692042917,4.444731157,-5.129512616,8.466497539
0.7791702917,6.17253719,-4.532190008,9.427189808
0.7891352917,6.495015811,-4.092643406,12.26009329
0.7991012917,5.607112021,-3.584270397,13.85166446
0.8090662917,5.470216423,-3.171063454,13.69344582
0.8190322917,5.114978192,-2.886781477,13.35408628
0.8289972917,4.338403634,-2.70896531,13.50452462
0.8389632917,5.188881735,-1.687854931,12.62778024
0.8489282917,6.641683275,-0.3487963539,11.08553969
0.8588942917,8.168353275,0.9973478794,10.34311404
0.8688592917,9.273461831,2.285382484,9.991847237
0.8788252917,9.096139753,3.039811297,9.151942656
0.8887902917,8.465881827,3.028035005,8.404025302
0.8987562917,8.592975737,2.69735274,8.447678275
0.9087212917,7.906382811,1.511726856,9.484786052
0.9186872917,7.14484086,0.2723054177,9.445661747
0.9286522917,8.946944538,2.469623571,7.275418541
0.9386182917,11.90505269,5.20355006,0.09381448209
0.9485842917,17.30559018,9.945653064,-12.71037918
0.9585492917,17.13380133,12.6759192,-8.710431681
0.9685152917,16.29769159,10.63467258,-5.528012642
0.9784802917,12.28011649,7.104368187,-2.689056126
0.9884462917,7.909669531,3.59106223,-2.262203828
0.9984112917,4.627552541,1.43825776,-2.232588851
1.008377292,2.910383763,0.5380800802,-1.875146219
1.018342292,2.042357583,-0.3327533484,-1.577003417
1.028308292,1.760203115,-1.595674746,-1.527695017
1.038273292,1.601597975,-2.446566246,-0.4833834708
1.048239292,1.554057773,-2.796847208,0.5402201611
1.058204292,1.592913691,-3.437066451,0.8476307997
1.068170292,1.654183155,-3.648505277,1.347964764
1.078135292,1.394465623,-3.047767019,1.668094851
1.088101292,0.6098985064,-2.399396757,1.382293182
1.098066292,0.1337980351,-1.832741334,1.083893395
1.108032292,-0.1895912898,-0.6399689823,0.4677421689
1.117997292,-0.8460950285,0.2622844595,0.1151995039
1.127963292,-2.06854083,0.6875448525,-0.2169433951
1.137928292,-2.501064342,0.8067783505,-0.4153069702
1.147894292,-2.275186401,2.544744505,-0.95321982
1.157859292,-2.279428849,4.092922318,-0.2974104381
1.167825292,-2.600426955,5.509043689,-1.263533894
1.177790292,-2.478352295,5.680173565,-2.526401204
1.187756292,-2.2700964,3.099725377,-1.38421984
1.197721292,-3.118865945,3.167478819,-1.938488814
1.207687292,-3.05703047,3.741212881,-1.518114354
1.217653167,-2.196763837,3.710895068,-0.8672461617
1.227619167,-2.497380596,3.084129683,0.06878138244
1.237584167,-2.960378627,1.754512605,0.288203997
1.247550167,-2.04911024,0.8140867853,-0.2188115805
1.257515167,-0.4905176586,0.5074161118,-0.9159698403
1.267481167,-0.2242149925,-0.009944944382,-1.24719765
1.277446167,-0.9915863255,-0.9521722913,-1.17599669
1.287412167,0.9475933367,-1.241589586,-1.589936289
1.297377167,-0.2197915739,-1.714106006,-1.700168583
1.307343167,-0.6116500399,-1.897598065,-1.587962269
1.317308167,-1.854962507,-2.390470982,-1.162290232
1.327274167,-1.502253782,-2.32700121,-0.4859328568
1.337239167,-1.698793318,-2.037560527,-0.6813175678
1.347205167,-2.687376221,-1.402680961,0.1315915883
1.357170167,-0.9297113818,-0.5746801418,1.074203682
1.367136167,0.4309701991,-0.1195667893,2.543177451
1.377101167,1.606911048,0.2985909909,3.336842836
1.387067167,1.884255304,1.078629439,3.415791941
1.397032167,2.590945987,2.127147473,2.485180673
1.406998167,3.87970126,3.517776738,1.514739926
1.416963167,4.487323446,4.532666849,1.317217473
1.426929167,5.097268145,4.477510648,0.7677399999
1.436894167,2.351862987,3.379603524,-0.01358249724
1.446860167,0.1003566393,2.420701087,-0.8478123558
1.456825167,-0.9244374856,1.869004596,-1.379649364
1.466791167,-0.8481006235,1.98883451,-1.624063563
1.476756167,0.4054348236,2.276556696,-1.10218027
1.486722167,1.511894086,1.523489115,-0.9849693239
1.496687167,2.225997577,-0.5719746351,0.3357874686
