"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.385833345E-3,-3.196756120E-1,-2.757190222E-1,-5.896817583E-1,7.252158659E-1
1.644083334E-2,-1.504387723E-1,-1.240907800E-1,-4.874455315E-1,5.250080876E-1
2.649583333E-2,4.933953658E-2,4.192482859E-2,-2.804581904E-1,2.878348098E-1
3.655083335E-2,2.176164097E-1,2.076115313E-1,5.363183141E-2,3.055091210E-1
4.660583334E-2,2.938034369E-1,2.251932317E-1,1.942526901E-1,4.180509045E-1
5.665983335E-2,3.030959782E-1,1.395964265E-1,1.777845919E-2,3.341712254E-1
6.671483335E-2,1.979842369E-1,1.106255195E-1,-2.340400690E-1,3.258995513E-1
7.676983334E-2,1.566998246E-1,1.699019605E-1,-5.012572396E-1,5.519785607E-1
8.682483333E-2,3.444195668E-1,2.413207296E-1,-5.460241073E-1,6.892045113E-1
9.687983335E-2,5.680206017E-1,2.102515492E-1,-4.025240797E-1,7.272405054E-1
1.069348333E-1,6.325431646E-1,1.455559087E-1,-4.872946733E-1,8.116362956E-1
1.169898333E-1,5.282032558E-1,1.214498851E-1,-5.444412661E-1,7.682220032E-1
1.270448334E-1,3.098151599E-1,1.109269434E-1,-5.630020827E-1,6.521208210E-1
1.370998333E-1,2.573722136E-1,1.222299036E-1,-5.332327384E-1,6.045806472E-1
1.471548333E-1,6.268905151E-1,1.175290346E-2,1.159403461E-1,6.376299966E-1
1.572098333E-1,6.482674970E-1,-2.068934932E-1,2.850073242E-1,7.377566266E-1
1.672648333E-1,7.841692141E-1,-1.779477292E-1,-3.517117757E-1,8.776604832E-1
1.773188333E-1,8.839994578E-1,-1.395654362E-1,-1.041970906E0,1.373549024E0
1.873738334E-1,8.772656581E-1,-8.188060731E-2,-1.439218458E0,1.687497922E0
1.974288333E-1,8.979146616E-1,-1.144069138E-1,-1.574449353E0,1.816103094E0
