"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.999791669E-3,5.845783085E-2,-3.550894198E-1,-8.180745864E-1,8.937291776E-1
1.605479166E-2,1.360202694E-1,-8.445718288E-2,-9.701325989E-1,9.832557088E-1
2.610979165E-2,2.243871930E-1,2.440496251E-1,-9.935302323E-1,1.047383480E0
3.616441667E-2,3.575078282E-1,5.730666026E-1,-8.790902817E-1,1.108610347E0
4.621941666E-2,4.974735063E-1,7.556166753E-1,-3.059064424E-1,9.549948696E-1
5.627441665E-2,7.559271625E-1,9.338889250E-1,1.022303796E-1,1.205829776E0
6.632941664E-2,7.284394017E-1,9.643882942E-1,3.633518279E-1,1.262019530E0
7.638441666E-2,6.081393716E-1,8.333463442E-1,3.597861958E-1,1.092586716E0
8.643941666E-2,5.492997175E-1,7.703668615E-1,3.722027582E-1,1.016725221E0
9.649541666E-2,3.588371927E-1,4.150499851E-1,1.201895177E-2,5.487942020E-1
1.065504166E-1,6.928541243E-2,2.197526899E-1,-2.367935228E-1,3.303980713E-1
1.166054167E-1,-1.533367985E-1,2.501316065E-1,-6.803679800E-1,7.409308892E-1
1.266604167E-1,-4.115270376E-1,2.783695650E-1,-1.313175293E0,1.404020465E0
1.367154167E-1,-7.740690261E-1,3.165366805E-1,-2.040349064E0,2.205085629E0
1.467704167E-1,-1.030955336E0,5.786308131E-1,-2.856922086E0,3.091874242E0
1.568254167E-1,-1.071299662E0,9.087368345E-1,-3.843545587E0,4.092227789E0
1.668804167E-1,-6.982306391E-1,1.118508912E0,-4.390741476E0,4.584451867E0
1.769354166E-1,-2.811610258E-1,1.133162912E0,-4.695221783E0,4.838203933E0
1.869904167E-1,-1.135997057E-1,7.266095155E-1,-5.655210632E0,5.702830313E0
1.970454167E-1,9.592430368E-2,1.026823694E-1,-6.147806976E0,6.149412635E0
2.071004167E-1,4.367928565E-1,-2.348705198E-1,-4.625763293E0,4.652272370E0
2.171554167E-1,9.222111583E-1,-7.857578295E-1,-1.475468856E0,1.909161369E0
2.272104167E-1,1.156977159E0,-1.720618050E0,1.170969839E0,2.381237700E0
2.372654167E-1,8.975443136E-1,-2.312987481E0,3.724562350E0,4.475249890E0
2.473204166E-1,4.694630045E-1,-2.121073385E0,5.599970816E0,6.006581470E0
2.573754167E-1,-8.870657377E-1,-9.413124038E-1,7.277311869E0,7.391361357E0
2.674304167E-1,-1.665026671E0,5.274612442E-2,7.322403842E0,7.509506908E0
2.774864167E-1,-1.505059568E0,5.017284521E-1,6.523873574E0,6.714004927E0
2.875414166E-1,-1.345188798E0,4.956087562E-1,5.382761958E0,5.570393813E0
2.975964167E-1,-1.443185794E0,-3.112983061E-1,3.876640243E0,4.148256434E0
3.076514167E-1,-1.538527861E0,-6.464952059E-1,2.989661483E0,3.423901256E0
3.177064167E-1,-1.362421420E0,-5.247099830E-1,2.309372440E0,2.732162835E0
3.277614167E-1,-1.413835841E0,-7.479007626E-1,1.415381699E0,2.135788540E0
3.378164167E-1,-1.477754533E0,-1.041397952E0,1.303999257E0,2.229054108E0
3.478714167E-1,-8.878620554E-1,-1.632598159E0,2.157294547E0,2.847383982E0
3.579264166E-1,2.760530443E-1,-2.733606062E0,3.111578853E0,4.150991489E0
3.679814167E-1,1.231860842E0,-3.977260007E0,3.376092855E0,5.360418012E0
3.780364167E-1,1.702577928E0,-4.837255329E0,2.599834047E0,5.749517179E0
3.880914167E-1,1.605418400E0,-4.416453730E0,1.929064856E0,5.079736510E0
3.981464167E-1,5.891259804E-1,-3.863956463E0,1.913794268E0,4.351992356E0
4.082014167E-1,1.301229139E-1,-2.780432319E0,2.538178082E0,3.766972767E0
