"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.861041674E-3,-7.698699944E-1,-7.024356642E-1,-2.621388053E0,2.820955689E0
1.182604168E-2,-6.527708763E-1,-2.996113300E-2,-1.363308735E0,1.511826112E0
2.179204169E-2,-3.064364925E-2,2.799342799E-1,3.498044139E-1,4.490716672E-1
3.175804167E-2,4.865137777E-1,2.236828959E-1,1.115166351E0,1.237063331E0
4.172304168E-2,7.527930549E-1,2.112891376E-1,9.448597634E-1,1.226417733E0
5.168904166E-2,5.378271881E-1,2.672665796E-1,2.660488969E-1,6.568649209E-1
6.165404167E-2,1.940481837E-1,2.526695904E-1,-7.170329458E-1,7.846227532E-1
7.162004168E-2,-8.625242427E-2,1.406845933E-1,-1.358811057E0,1.368794770E0
8.158504168E-2,-2.140146710E-1,-1.272096848E-1,-1.356618935E0,1.379274998E0
9.155104167E-2,-4.060689542E-1,-5.459080401E-1,-1.318477548E0,1.483674704E0
1.015160417E-1,-4.499479222E-1,-8.179240206E-1,-1.541871591E0,1.802448568E0
1.114820417E-1,-1.925577284E-1,-9.933100846E-1,-1.430418398E0,1.752095944E0
1.214470417E-1,-5.754171833E-2,-9.537074777E-1,-1.059282757E0,1.426516373E0
1.314130417E-1,-2.928797230E-2,-2.534066319E-1,-6.718678826E-1,7.186648441E-1
1.413780417E-1,9.253657311E-2,4.537816492E-1,-3.890941948E-1,6.048760988E-1
1.513440417E-1,3.216483164E-1,7.953964528E-1,-4.707300961E-2,8.592607432E-1
1.613090417E-1,2.710397878E-1,5.793430039E-1,6.532901090E-1,9.142695715E-1
1.712750417E-1,-5.984215915E-2,-6.185164252E-1,6.509097075E-1,8.999039391E-1
1.812400417E-1,-3.021441977E-1,-6.410024777E-1,6.660113114E-1,9.724949149E-1
1.912060417E-1,-4.547438085E-1,2.744069070E-2,5.923814178E-1,7.473022595E-1
2.011710417E-1,-7.340748020E-1,1.113920894E-1,-2.135017240E-1,7.725652067E-1
2.111370417E-1,-1.129666130E0,8.244574070E-4,-7.230737042E-1,1.341261282E0
2.211012917E-1,-1.596092530E0,-1.507163689E-1,-1.103918062E0,1.946499904E0
2.310672917E-1,-1.738155312E0,-1.890656251E-1,-1.031243019E0,2.029874839E0
2.410322917E-1,-1.072242672E0,1.348443943E-1,-4.755984879E-1,1.180712192E0
2.509982917E-1,-1.764688953E-1,4.803689387E-1,4.578609592E-1,6.866820562E-1
2.609632917E-1,6.728182744E-1,5.046921864E-1,1.205447361E0,1.469864611E0
2.709292917E-1,8.846163391E-1,3.532665503E-1,1.225240186E0,1.551952588E0
2.808942917E-1,1.638532352E-1,2.234583628E-1,6.114667296E-1,6.713218930E-1
2.908602917E-1,-9.199916283E-1,-9.827122986E-2,-4.575761998E-1,1.032190781E0
3.008252917E-1,-1.305670684E0,-5.627801809E-1,-1.667336467E0,2.191234438E0
3.107912917E-1,-1.030239637E0,-1.289757194E0,-7.433559412E-1,1.810371615E0
3.207562917E-1,-1.188757142E0,-2.652510151E0,6.624609990E0,7.234252633E0
3.307222917E-1,3.053913027E0,-3.283062192E0,5.638586998E-1,4.519161291E0
3.406872917E-1,2.985094222E0,-4.492420464E0,-7.582435369E-1,5.446793772E0
3.506532917E-1,2.376426116E0,-2.939389461E0,-3.927871792E0,5.451200630E0
3.606182917E-1,1.649904894E0,-1.440638454E0,-4.215645434E0,4.750714866E0
3.705842917E-1,2.581918471E-1,-9.390230727E-1,-3.239970260E0,3.383169320E0
3.805492917E-1,-5.216191448E-1,3.289447644E-1,-2.136877239E0,2.224080827E0
3.905152917E-1,-4.599754585E-1,1.772791294E0,-3.884048080E-1,1.872224529E0
4.004802917E-1,6.934816767E-1,1.917103499E0,6.590613109E-1,2.142560262E0
4.104462917E-1,1.483439927E0,3.873312593E-1,-3.741487116E-1,1.578165637E0
4.204112917E-1,2.265496980E0,-9.476819220E-1,-1.119712561E0,2.698950502E0
4.303772917E-1,3.129048579E0,-1.507477684E0,-1.192855967E0,3.672375162E0
4.403422917E-1,3.758094378E0,-1.743521301E0,-1.632948407E0,4.453050682E0
4.503082917E-1,3.037492584E0,-1.474616332E0,-2.040980564E0,3.945434854E0
4.602742917E-1,2.070385627E0,-1.108482984E0,-2.955017899E0,3.774567784E0
4.702392917E-1,1.966741098E0,-1.096252947E0,-4.174756440E0,4.743251248E0
4.802052917E-1,1.844038593E0,-1.106004934E0,-4.266812664E0,4.778013767E0
4.901702917E-1,7.708314228E-1,-1.118072417E0,-2.770968601E0,3.085860334E0
5.001362917E-1,-5.400897682E-1,-1.452299849E0,-1.163809923E0,1.937866184E0
5.101012917E-1,-1.348353458E0,-2.467356313E0,2.440935962E0,3.723449018E0
5.200672917E-1,-3.596651584E0,-3.767270413E0,-5.637838554E-1,5.238900764E0
5.300322917E-1,-2.210683865E0,-5.123704576E0,-4.596715495E0,7.229748618E0
5.399982917E-1,2.122050747E0,-4.943194013E0,-8.302953256E0,9.893295669E0
5.499632917E-1,2.552161990E0,-3.364049053E0,-8.654618838E0,9.629786295E0
5.599292917E-1,2.330285299E0,-2.050410076E0,-8.657631324E0,9.197227365E0
5.698942917E-1,1.775193037E0,-1.861084542E0,-7.736327654E0,8.152650585E0
5.798602917E-1,1.367248004E0,-2.099675207E0,-4.916155318E0,5.517842530E0
5.898252917E-1,4.147313118E-1,-3.548067069E0,-3.484880887E0,4.990508670E0
5.997912917E-1,-9.075065804E-1,-6.110270190E0,-4.126087725E0,7.428564458E0
6.097562917E-1,-1.610909082E0,-7.947659476E0,-4.138739346E0,9.104366128E0
6.197222917E-1,-1.681334701E0,-8.694164143E0,-2.146513451E0,9.111690102E0
6.296872917E-1,-1.841178281E0,-9.114519891E0,-1.293284819E0,9.388130588E0
6.396532917E-1,-1.966725018E0,-8.893499233E0,-1.823036125E0,9.289014835E0
6.496182917E-1,-1.736545866E0,-7.618537833E0,-2.375684543E0,8.167103973E0
6.595842917E-1,-1.462683919E0,-6.657016429E0,-2.436973304E0,7.238380403E0
6.695492917E-1,-1.487034649E0,-6.596998268E0,-2.773875836E0,7.309312235E0
6.795152917E-1,-1.186642715E0,-6.687759334E0,-2.722272989E0,7.317446008E0
6.894802917E-1,-8.077308619E-1,-6.887669790E0,-2.008599853E0,7.219895959E0
6.994462917E-1,-1.325031692E0,-7.541801898E0,-1.033654411E0,7.726766872E0
7.094112917E-1,-2.526238067E0,-8.668603624E0,2.491065896E-1,9.032642009E0
7.193772917E-1,-3.845787410E0,-9.704101077E0,1.761575457E0,1.058597216E1
7.293422917E-1,-3.748558154E0,-9.841704773E0,3.695304637E0,1.116091920E1
7.393082917E-1,-2.177569767E0,-9.111241942E0,6.192972624E0,1.122984638E1
7.492732917E-1,1.355665255E-1,-7.706063050E0,8.325820547E0,1.134553101E1
7.592392917E-1,2.397581196E0,-6.133923932E0,9.009350116E0,1.115983010E1
