"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.468250004E-3,3.734496769E-1,-9.075141817E-2,-2.282355380E-1,4.469809190E-1
8.496750001E-3,6.996836722E-1,1.618772417E-1,-3.538237900E-1,8.005952516E-1
1.846275001E-2,8.093717368E-1,3.330135494E-1,-2.582276613E-1,9.125032370E-1
2.842775002E-2,5.638415967E-1,2.994367906E-1,-7.580096483E-2,6.429039773E-1
3.839375000E-2,4.595611833E-1,3.870301276E-1,2.265375066E-1,6.421121731E-1
4.835875001E-2,6.209965217E-1,5.639101553E-1,4.961023343E-1,9.745505986E-1
5.832375001E-2,6.836336499E-1,6.789465219E-1,8.848041809E-1,1.308129116E0
6.828974999E-2,6.435112256E-1,5.924919301E-1,9.172059417E-1,1.267446300E0
7.825475000E-2,6.969362117E-1,4.349150231E-1,6.381370497E-1,1.040235577E0
8.821975000E-2,7.308272584E-1,2.426366454E-1,4.527996093E-1,8.933132203E-1
9.818575002E-2,3.724353312E-1,1.886101270E-1,4.531890339E-1,6.161673120E-1
1.081507500E-1,2.232569262E-2,3.170638070E-1,5.236719561E-1,6.125848609E-1
1.181167500E-1,-1.550298598E-1,4.849829766E-1,2.106190467E-1,5.510019309E-1
1.280817500E-1,-1.732603088E-1,6.399920788E-1,-3.923470008E-1,7.704188242E-1
1.380467500E-1,-2.167694405E-2,6.800671408E-1,-7.774949098E-1,1.033179336E0
1.480127500E-1,6.480552430E-1,3.442723632E-1,-7.701332653E-1,1.063768915E0
1.579777500E-1,1.247210514E0,3.042317998E-1,-3.554522395E-1,1.332080083E0
1.679427500E-1,1.098772513E0,7.156614813E-1,8.745487493E-1,1.576168743E0
1.779087500E-1,1.121068823E0,7.821472469E-1,1.513609659E0,2.039500876E0
1.878737500E-1,1.385838349E0,5.739740905E-1,2.194181122E0,2.657898603E0
1.978397500E-1,1.404484243E0,2.790773705E-1,2.988040634E0,3.313434321E0
2.078047500E-1,1.130699260E0,2.762221751E-1,8.389374518E-1,1.434780665E0
2.177697500E-1,7.858562820E-1,4.985032010E-1,6.704610425E-1,1.146993264E0
2.277357500E-1,4.119641535E-1,7.867069057E-1,3.418603867E-1,9.515727735E-1
2.377007500E-1,1.669119137E-1,1.156288357E0,2.174784154E-1,1.188343053E0
2.476667500E-1,1.656368187E-2,8.532926586E-1,5.611122626E-1,1.021386160E0
2.576317500E-1,2.688477580E-1,3.567345339E-1,6.932084656E-1,8.246675824E-1
2.675967500E-1,7.458573069E-1,7.481711233E-1,6.956835920E-1,1.264926406E0
2.775627500E-1,8.128668369E-1,1.167191660E0,8.018696129E-1,1.632814669E0
2.875277500E-1,5.072206686E-1,9.594216692E-1,2.762493646E-1,1.119855552E0
2.974927500E-1,-3.354332735E-1,3.197973803E-1,-5.222253549E-1,6.982157021E-1
3.074587500E-1,-8.318455102E-1,2.182347527E-1,-1.289323331E0,1.549821929E0
3.174237500E-1,-8.535528597E-1,3.824774855E-1,-2.198662428E0,2.389342584E0
3.273897500E-1,5.143459395E-1,2.730369043E-1,-2.368347457E0,2.438887159E0
3.373547500E-1,1.394391364E0,1.380141992E0,-6.581684411E-1,2.069373067E0
