"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.878749849E-4,-1.522491872E0,-2.200791107E-1,-1.985496334E0,2.511695047E0
1.044287498E-2,-1.987789905E0,-5.237820299E-1,-2.685863546E0,3.382235845E0
2.049787500E-2,-1.813289694E0,-1.151805004E-1,-2.304439144E0,2.934574216E0
3.055287499E-2,-1.299982512E0,6.900283112E-1,-9.977115762E-1,1.778066926E0
4.060787498E-2,-1.067308353E0,1.279232498E0,3.163624334E-1,1.695779494E0
5.066287500E-2,-9.128199452E-1,1.538243979E0,1.028674922E0,2.063396929E0
6.071787499E-2,-6.669863346E-1,1.520540218E0,9.792963552E-1,1.927675978E0
7.077287498E-2,-7.706931362E-1,1.269810295E0,1.224418652E-1,1.490428833E0
8.082787498E-2,-1.396080624E0,1.287347410E0,-1.087401432E0,2.188320438E0
9.088287500E-2,-1.937902338E0,1.327902967E0,-2.057402469E0,3.122770674E0
1.009378750E-1,-2.623269687E0,1.984627584E0,-1.724917508E0,3.714247018E0
1.109928750E-1,-2.458363588E0,2.366690795E0,-1.185669154E0,3.612559784E0
1.210488750E-1,-1.441284718E0,2.037211449E0,-1.117337422E0,2.734222932E0
1.311038750E-1,-8.875188969E-1,1.817324127E0,-1.402277504E0,2.461044285E0
1.411588750E-1,-4.012105027E-1,1.489293428E0,-2.782216305E0,3.181146389E0
1.512138750E-1,3.852783018E-1,6.391671829E-1,-4.537341113E0,4.598308214E0
1.612688750E-1,1.372642645E0,-3.760287376E-1,-4.894765618E0,5.097477406E0
1.713238750E-1,1.641268118E0,-1.255809283E0,-3.361242097E0,3.945727617E0
1.813788750E-1,5.677365001E-1,-1.418129159E0,-1.099214562E0,1.881937220E0
1.914338750E-1,-1.113841299E0,-6.502634440E-1,8.003522605E-1,1.517909328E0
2.014888750E-1,-3.217454094E0,4.881488784E-1,2.550368357E-1,3.264252435E0
2.115438750E-1,-5.022716730E0,9.842635649E-1,-3.092709303E-1,5.127582922E0
2.215988750E-1,-3.752874860E0,5.025105172E-1,5.672068155E-1,3.828617258E0
2.316538750E-1,-2.088701445E0,2.085406904E-1,1.955471467E0,2.868803166E0
2.417088750E-1,-1.739679535E0,4.739931713E-1,4.733169043E0,5.064982093E0
2.517638750E-1,-1.340329616E0,3.458358356E-1,4.784083089E0,4.980314940E0
2.618188750E-1,-4.653256974E-1,3.476772334E-1,3.375616307E0,3.425228885E0
2.718738750E-1,7.705805042E-1,9.586841161E-1,2.302212524E0,2.610182380E0
2.819272083E-1,1.112706135E0,1.866888489E0,2.770632970E-1,2.190924837E0
2.919822083E-1,1.421720957E0,2.927609076E0,-1.459524668E0,3.566847017E0
3.020372083E-1,1.698051745E0,3.146772074E0,-1.772146053E0,3.990746277E0
3.120922083E-1,1.402379099E0,2.826103166E0,-1.084460868E0,3.336102759E0
3.221472083E-1,-1.071096764E0,2.272124361E0,-1.386797585E0,2.869321336E0
3.322022083E-1,-8.816586712E0,7.388084154E-1,-2.331442171E0,9.149517021E0
3.422572083E-1,-5.671926067E0,1.183322228E0,-3.241460130E0,6.639131011E0
3.523122083E-1,-2.225458171E0,8.185821247E-1,-4.179462864E0,4.805273207E0
3.623672083E-1,-1.891032665E0,6.247606668E-1,-4.336902654E0,4.772321768E0
3.724222083E-1,-2.287012687E0,1.169447954E0,-3.731407685E0,4.530059477E0
3.824772083E-1,-1.967342776E0,1.557192466E0,-3.719715593E0,4.486821822E0
3.925332083E-1,-1.491051686E0,1.574625647E0,-3.724094573E0,4.309473453E0
4.025882083E-1,-1.228111461E0,1.278427044E0,-3.318366219E0,3.762205182E0
4.126432083E-1,-1.187856890E0,4.395369548E-1,-2.878619934E0,3.144940293E0
4.226982083E-1,-1.851923710E0,-2.392856061E-1,-2.467482905E0,3.094406391E0
4.327532083E-1,-2.062456217E0,-6.887683824E-1,-2.359470214E0,3.208617650E0
4.428082083E-1,-2.253783838E0,-1.004507503E0,-2.076789497E0,3.225156047E0
4.528632083E-1,-2.465662960E0,-1.112871904E0,-9.297365248E-1,2.860487320E0
4.629182083E-1,-2.420643200E0,-1.362718751E0,9.738771558E-2,2.779568359E0
4.729732083E-1,-1.589624632E0,-1.459711487E0,7.880503035E-1,2.297539418E0
4.830282083E-1,-9.958966005E-1,-1.364024142E0,-4.691092479E-1,1.752836383E0
4.930832083E-1,-1.281774867E0,-1.526315074E0,-1.546501417E0,2.522746747E0
5.031382083E-1,-1.737778751E0,-1.663487537E0,-2.890754660E0,3.760788253E0
5.131932083E-1,-2.091587631E0,-1.169585510E0,-4.032033507E0,4.690411846E0
5.232482083E-1,-1.783817680E0,-4.318545905E-1,-3.619932858E0,4.058622648E0
5.333032083E-1,-1.367754958E0,-1.991134804E-1,-3.160865618E0,3.449850904E0
5.433582083E-1,-9.036439097E-1,-5.429452559E-1,-2.840611278E0,3.029923151E0
5.534132083E-1,-1.132024459E0,-7.933750704E-1,-2.695593313E0,3.029380578E0
5.634682083E-1,-1.641906341E0,-9.087955990E-1,-2.251726495E0,2.931217850E0
5.735232083E-1,-2.038509530E0,-1.228391835E0,-2.181738832E0,3.228691985E0
5.835782083E-1,-2.197632734E0,-1.579535261E0,-2.180748898E0,3.475656345E0
5.936332083E-1,-1.726808497E0,-1.367447833E0,-1.218925193E0,2.517451050E0
6.036882083E-1,-1.312956022E0,-3.099717191E-1,4.141933680E-2,1.349685720E0
6.137432083E-1,-1.414482397E0,9.870114639E-1,-6.403437889E-1,1.839834843E0
6.237982083E-1,-1.300307910E0,7.719410782E-1,-2.286133266E0,2.741003283E0
6.338532083E-1,-1.392155389E0,-9.497433579E-1,-2.339024840E0,2.882905873E0
6.439082083E-1,-1.722359936E0,-1.672697633E0,-1.215739630E0,2.691182633E0
6.539642083E-1,-1.540578187E0,-1.698155094E0,-7.652157569E-1,2.417160944E0
6.640192083E-1,-7.532383204E-1,-1.235370195E0,-7.616986567E-1,1.635142908E0
