"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.782708333E-3,4.908632290E-1,1.332960516E-1,1.437073115E0,1.524432250E0
1.474870834E-2,6.110831523E-1,2.018891537E-1,1.170894994E0,1.336105137E0
2.471370835E-2,8.962761256E-1,2.473904318E-1,7.340822572E-1,1.184647492E0
3.467870833E-2,1.282455776E0,1.897687528E-1,2.302633524E-1,1.316710374E0
4.464470834E-2,1.497587119E0,1.126115263E-1,-1.037377918E-1,1.505393657E0
5.460970834E-2,1.386464001E0,1.438491064E-1,-1.493203461E-1,1.401881435E0
6.457470835E-2,1.239938332E0,2.798766848E-1,-1.723191994E-1,1.282759499E0
7.454070833E-2,1.135571964E0,3.102503389E-1,-4.388481528E-1,1.256330633E0
8.450570834E-2,1.098562890E0,2.784944031E-1,-7.990793216E-1,1.386696549E0
9.447070834E-2,9.220217085E-1,3.877686310E-1,-8.421616066E-1,1.307564420E0
1.044367084E-1,7.726235944E-1,5.299001178E-1,-4.758399779E-1,1.050792576E0
1.144017083E-1,9.149266970E-1,3.441785154E-1,-7.106881320E-2,9.801022842E-1
1.243667083E-1,1.568598922E0,-4.929056615E-2,2.128678858E-2,1.569517526E0
1.343327083E-1,2.534470654E0,-3.187518981E-1,-9.094466865E-2,2.556054617E0
1.442977083E-1,3.455138732E0,-3.992613333E-1,-6.895562947E-2,3.478814188E0
1.542627083E-1,3.992730278E0,-2.369209921E-1,-3.054860276E-1,4.011402291E0
1.642287083E-1,3.480108097E0,-2.167521912E-1,-4.831267780E-1,3.520162690E0
1.741937083E-1,1.770999999E0,-2.892828083E-1,-6.338826156E-1,1.903137596E0
1.841587083E-1,5.783539474E-2,-3.101766640E-1,-1.255946839E0,1.294973729E0
1.941247083E-1,-3.479113778E-1,-2.084783810E-1,-1.736830040E0,1.783559405E0
2.040897083E-1,-5.502741560E-2,6.174191952E-2,-1.476234841E0,1.478549758E0
2.140547083E-1,1.114977340E0,2.750623798E-1,-5.149666214E-1,1.258580312E0
2.240207084E-1,2.612740314E0,1.158500066E-1,8.402197462E-1,2.746962394E0
2.339857083E-1,3.845393892E0,-3.941163683E-1,8.095095849E-1,3.949390797E0
2.439507083E-1,4.058125245E0,-1.342219875E0,-1.933177203E-1,4.278703827E0
2.539167083E-1,2.560116835E0,-6.838166678E-1,-1.803187752E-1,2.655996668E0
2.638817083E-1,1.164314099E0,-3.854589808E-1,-3.407347977E-1,1.272912467E0
2.738467083E-1,7.788899823E-1,-5.532989207E-1,2.474722928E-1,9.869406446E-1
2.838127083E-1,8.432852221E-1,-3.149288423E-1,1.962801536E0,2.159374912E0
2.937777083E-1,2.300109427E0,-9.752139755E-1,3.534003346E0,4.327900799E0
3.037437083E-1,3.791210960E0,-1.433084875E0,4.518446420E0,6.069874040E0
3.137087083E-1,4.629878271E0,-1.697276842E0,4.044408554E0,6.377598454E0
3.236737083E-1,4.815934042E0,-2.081203122E0,2.199982730E0,5.688985071E0
3.336397083E-1,3.858662686E0,-2.264295085E0,-3.812150717E-2,4.474121501E0
3.436047084E-1,2.374360441E0,-1.995725892E0,-1.034101138E0,3.269537353E0
3.535697083E-1,1.443236665E0,-1.241592802E0,-9.714031988E-1,2.137313484E0
3.635357083E-1,1.363532537E0,-6.925915843E-1,-7.567875803E-1,1.706350352E0
3.735007083E-1,1.729524529E0,-7.529883519E-1,-7.819592589E-1,2.041986003E0
3.834657083E-1,2.270945854E0,-1.443843313E0,-8.542495555E-1,2.823405902E0
3.934317083E-1,2.788167016E0,-2.004906459E0,-3.890567726E-1,3.456138075E0
4.033967083E-1,3.731747993E0,-1.474128382E0,1.080770105E-1,4.013810934E0
4.133617083E-1,4.090415324E0,-8.890013123E-1,9.641935819E-1,4.295519773E0
4.233277083E-1,3.950819775E0,-7.501074287E-1,2.420320433E0,4.693568903E0
4.332927083E-1,3.689501275E0,-1.284054404E0,2.803198453E0,4.808236365E0
4.432577083E-1,3.937501864E0,-2.635168186E0,1.165063566E0,4.879078336E0
4.532237083E-1,4.058271133E0,-3.937046074E0,-7.579453290E-1,5.704767962E0
4.631887084E-1,3.378743691E0,-4.560126835E0,-1.841712717E0,5.966789037E0
4.731537083E-1,2.845126205E0,-4.405178252E0,-2.472816736E0,5.797858326E0
4.831197083E-1,2.546084102E0,-3.890444057E0,-2.902420440E0,5.481071394E0
4.930847083E-1,2.317751500E0,-3.333850523E0,-2.813895934E0,4.940095308E0
5.030497083E-1,1.850091777E0,-2.899210611E0,-2.100517498E0,4.029942371E0
5.130157083E-1,1.343189343E0,-2.394343301E0,-1.672882551E0,3.214898674E0
5.229807083E-1,7.933212760E-1,-1.737056912E0,-1.729526283E0,2.576429026E0
5.329457083E-1,1.458514854E-1,-1.256540916E0,-2.045030930E0,2.404645345E0
5.429117083E-1,-2.459847611E-1,-1.550908463E0,-2.329353545E0,2.809219376E0
5.528767083E-1,-3.344773999E-1,-1.913654227E0,-2.522314585E0,3.183711435E0
5.628417083E-1,-1.263849351E-1,-1.994020698E0,-1.468739296E0,2.479775557E0
5.728077083E-1,-7.102636242E-1,-2.516792475E0,3.862112251E0,4.664185869E0
5.827727084E-1,1.381197122E-1,-1.795110700E0,3.916210690E0,4.310244268E0
5.927377083E-1,1.679232920E0,-1.099700466E0,1.780512249E-1,2.015159188E0
6.027037083E-1,1.069371543E0,-1.412748405E0,1.840950240E0,2.555095172E0
6.126687083E-1,1.425023172E0,-1.617368501E0,2.155977169E0,3.048738996E0
6.226337083E-1,7.364404392E-1,-2.150812908E0,3.972398924E0,4.576930620E0
6.325997083E-1,-3.917692959E-2,-2.188976516E0,3.885980000E0,4.460268331E0
6.425647083E-1,2.944266039E-1,-1.161562838E0,2.610526266E0,2.872414078E0
6.525297083E-1,1.102619981E0,1.976551849E-1,9.925280195E-1,1.496646339E0
6.624957083E-1,2.076814640E0,1.182335656E0,-1.040250655E0,2.606376427E0
6.724607083E-1,2.172994321E0,2.047960970E0,-2.640540023E0,3.986038142E0
6.824257083E-1,1.191052101E0,2.959412959E0,-2.679166730E0,4.165893006E0
6.923917083E-1,-5.023965696E-1,2.545034234E0,-1.276237262E0,2.891086840E0
7.023567084E-1,-2.243241893E0,8.505764808E-1,3.144498092E-1,2.419606005E0
7.123217083E-1,-3.153960349E0,-8.780269656E-1,1.492957878E0,3.598238522E0
7.222877083E-1,-3.109944848E0,-1.928872190E0,3.149212702E0,4.828027084E0
7.322527083E-1,-2.607250071E0,-1.894269245E0,4.555562207E0,5.580246941E0
7.422177083E-1,-1.581470397E0,-1.714785599E0,4.255097768E0,4.852565845E0
7.521837083E-1,-6.430870101E-1,-1.514080652E0,2.216563679E0,2.760281809E0
7.621487083E-1,-2.877452829E-1,-8.110225520E-1,2.158265769E-2,8.608256146E-1
7.721147084E-1,3.626090853E-1,-4.344118702E-1,-1.720670090E0,1.811326746E0
7.820797083E-1,1.024328979E0,-5.951383799E-1,-1.935019076E0,2.268862793E0
7.920447083E-1,2.650829369E-1,-8.083921820E-1,-1.071117522E0,1.367866817E0
8.020107083E-1,-8.955550177E-1,-1.049233294E0,-2.117528218E-1,1.395617624E0
8.119757083E-1,-2.087250020E0,-1.321351600E0,9.501497394E-1,2.646765427E0
8.219407084E-1,-2.940702161E0,-1.828848550E0,1.317159001E0,3.705040358E0
8.319067083E-1,-3.241718870E0,-2.565302145E0,6.303894889E-1,4.181734955E0
8.418717083E-1,-3.334817652E0,-3.071490927E0,-9.577797711E-2,4.534780999E0
8.518367083E-1,-2.985264961E0,-2.941610819E0,-4.965759587E-1,4.220363584E0
8.618027083E-1,-2.290799052E0,-2.756479785E0,-6.325693309E-1,3.639517146E0
8.717677083E-1,-1.645584825E0,-3.176071887E0,-1.913934016E-1,3.582179990E0
8.817327083E-1,-2.134165008E0,-3.814194611E0,-9.046706808E-1,4.463313775E0
8.916987084E-1,-3.190046148E0,-3.921558261E0,-3.091975477E0,5.925818591E0
9.016637083E-1,-2.102382322E0,-3.300238973E0,-3.515204548E0,5.260061950E0
9.116287083E-1,-1.466863070E0,-2.423695592E0,-2.912206340E0,4.062872550E0
9.215947083E-1,-1.742386649E0,-2.759351060E0,-2.235546080E0,3.955704208E0
9.315597083E-1,-1.527955803E0,-3.561129749E0,-1.812830395E0,4.278159425E0
9.415247084E-1,-1.960456218E0,-3.900969923E0,-5.513737249E-1,4.400564498E0
9.514907083E-1,-3.119615266E0,-4.376436848E0,9.359895372E-1,5.455389565E0
9.614557083E-1,-5.059074717E0,-5.154652719E0,1.448184578E0,7.366269085E0
9.714207083E-1,-6.846376169E0,-5.853819498E0,9.703477764E-1,9.059892061E0
9.813867083E-1,-7.739979824E0,-6.071318963E0,-2.764019769E-1,9.840965384E0
9.913517083E-1,-7.139667828E0,-5.982210905E0,-4.285512060E-1,9.324449589E0
1.001316708E0,-6.165680745E0,-5.479496539E0,5.874276567E-1,8.269556978E0
1.011282708E0,-5.407657063E0,-4.879951113E0,1.273346983E0,7.394463491E0
1.021247708E0,-3.710407995E0,-4.143011906E0,1.779234048E0,5.839293531E0
1.031212708E0,-2.615798115E0,-2.969889708E0,1.796606711E0,4.346313418E0
1.041178708E0,-2.643813295E0,-2.237952501E0,1.084598277E0,3.629674029E0
1.051143708E0,-3.096948534E0,-2.103593426E0,4.315631068E-1,3.768612774E0
1.061108708E0,-3.378556872E0,-2.372029303E0,2.690017408E-1,4.136850431E0
1.071074708E0,-3.496270094E0,-2.718127020E0,3.401132387E-1,4.441598370E0
1.081039708E0,-2.823866606E0,-2.973229930E0,1.619902392E0,4.408900383E0
1.091004708E0,-1.267238397E0,-2.864191344E0,2.162645334E0,3.806116138E0
1.100970708E0,1.396405730E0,-1.798763164E0,3.382761897E0,4.077815093E0
1.110935708E0,3.680208296E0,-1.888034323E-1,5.373108205E0,6.515356599E0
1.120900708E0,4.681178525E0,1.144483633E0,6.312665713E0,7.941852654E0
1.130866708E0,4.731376287E0,1.970015831E0,6.397778953E0,8.197466650E0
1.140831708E0,3.279601518E0,1.712099388E0,5.511606524E0,6.638138060E0
