"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.554167045E-4,-2.954479663E-1,2.585597831E-1,3.316265899E-1,5.139249530E-1
1.095941674E-2,-3.070991282E-1,1.138558137E-1,2.999580699E-1,4.441259558E-1
2.096341667E-2,-2.715767084E-1,1.899924088E-1,4.439931178E-1,5.540585823E-1
3.096841672E-2,-1.357211843E-1,2.115148401E-1,5.340191889E-1,5.901993405E-1
4.097241675E-2,-1.285826111E-1,7.265954822E-2,4.707569933E-1,4.933812365E-1
5.097641668E-2,-7.278102413E-2,2.721001804E-3,2.411795193E-1,2.519365830E-1
6.098141673E-2,-5.086697549E-2,-6.202726364E-2,-5.828504562E-3,8.042886357E-2
7.098541665E-2,-7.958382100E-2,-9.891559303E-2,-1.348590124E-1,1.852156374E-1
8.098941669E-2,-1.002896887E-1,-5.071056247E-2,-1.334018862E-1,1.744294873E-1
9.099441674E-2,-1.175955467E-1,1.521533221E-2,-1.689880407E-1,2.064392812E-1
1.009984167E-1,-7.023397699E-2,3.471579641E-2,-2.837507576E-1,2.943679508E-1
1.110024167E-1,-1.628025636E-2,1.155292869E-2,-4.118784553E-1,4.123619512E-1
1.210074167E-1,6.993562281E-3,8.241358101E-3,-5.582494658E-1,5.583540955E-1
1.310114167E-1,2.182619423E-3,1.586852467E-1,-4.549291652E-1,4.818156460E-1
1.410154167E-1,1.648963054E-1,1.349207005E-1,-5.304617429E-1,5.716502843E-1
1.510194167E-1,2.348899618E-1,-2.699922591E-2,-7.848173779E-1,8.196588126E-1
1.610244167E-1,2.765686226E-1,-1.160768786E-1,-8.615872264E-1,9.123029066E-1
1.710284167E-1,1.908936109E-1,-1.772410932E-1,-8.037746358E-1,8.449310273E-1
1.810324168E-1,9.643520415E-2,-1.594018230E-1,-7.046549749E-1,7.288671508E-1
1.910374167E-1,9.002153948E-2,-1.320222357E-1,-6.004856586E-1,6.213829532E-1
2.010414167E-1,1.053130317E-1,-8.251386076E-2,-6.114170283E-1,6.258834990E-1
2.110454167E-1,-3.862549330E-1,4.130815199E-1,-6.800025290E-1,8.844391753E-1
2.210504167E-1,-1.284494407E-1,1.077255929E-1,-8.077957660E-1,8.250079162E-1
2.310544167E-1,1.686516796E-1,-1.902274668E-2,-5.441524136E-1,5.700062308E-1
2.410584167E-1,3.716111661E-1,-2.198778203E-1,-3.782984805E-1,5.740652010E-1
2.510634167E-1,1.111358206E0,-7.096783179E-1,-2.162785667E-1,1.336239797E0
2.610674168E-1,9.404006767E-1,-8.067277721E-1,7.764903581E-1,1.462224472E0
2.710714167E-1,1.104269334E0,-1.079404196E0,1.704875007E0,2.300244110E0
