"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.376458327E-3,2.183347401E-1,-3.646762222E-2,1.472659854E0,1.489203475E0
1.138045837E-2,5.599996836E-1,1.272950542E-1,8.590700001E-1,1.033346477E0
2.138445829E-2,4.739736197E-1,2.433836272E-1,2.692888391E-1,5.969950260E-1
3.138845833E-2,3.471134522E-1,1.339015308E-1,-3.451582164E-1,5.074953822E-1
4.139245837E-2,1.174178644E-1,-8.023008451E-2,-9.015623009E-1,9.127093753E-1
5.139745830E-2,-3.664528987E-1,-2.482704377E-1,-1.301107809E0,1.374338920E0
6.140145834E-2,-6.288860236E-1,-2.576886941E-1,-1.220748940E0,1.397186125E0
7.140545826E-2,-5.131180242E-1,-1.059280126E-1,-7.768505466E-1,9.370206093E-1
8.140945830E-2,-2.643698689E-1,6.160655648E-2,-4.838816535E-1,5.548227195E-1
9.141445835E-2,6.024357051E-2,1.528599581E-1,-3.901841158E-1,4.233663883E-1
1.014184583E-1,3.438712442E-1,6.347108737E-2,-3.667829740E-1,5.067600631E-1
1.114224583E-1,7.017788757E-1,1.766054278E-1,-5.357341772E-1,9.003855709E-1
1.214264584E-1,5.394885282E-1,1.108211088E-1,-6.318103623E-1,8.381607985E-1
1.314304583E-1,3.941860963E-1,7.696200259E-2,-2.807102054E-1,4.900041304E-1
1.414354583E-1,3.696830468E-1,8.116395794E-2,1.480403906E-1,4.064100151E-1
1.514394584E-1,1.687503514E-1,9.048266552E-2,4.168158442E-1,4.586929712E-1
1.614434583E-1,8.319403812E-2,1.351841541E-1,6.544092661E-1,6.733850986E-1
1.714474583E-1,2.876362324E-1,2.111868479E-1,9.497626537E-1,1.014585425E0
1.814524584E-1,4.831418346E-1,2.293625157E-1,9.993862188E-1,1.133492836E0
1.914564583E-1,4.399532765E-1,2.334819157E-1,7.749718362E-1,9.212242058E-1
2.014604583E-1,2.790303004E-1,1.686142940E-1,5.911137414E-1,6.750586226E-1
2.114644584E-1,1.858938029E-1,8.292422567E-2,5.741492146E-1,6.091635690E-1
2.214684583E-1,1.684457114E-1,-5.771368129E-2,7.596199715E-1,7.802097973E-1
2.314734583E-1,1.597377455E-1,-1.797154887E-1,8.957449061E-1,9.274549806E-1
2.414774583E-1,9.369870722E-2,-2.559418019E-1,8.490110350E-1,8.916868235E-1
2.514814583E-1,1.688718273E-1,-2.287907311E-1,6.591688997E-1,7.178903335E-1
2.614854584E-1,4.641142640E-1,-5.616564922E-2,4.463244027E-1,6.463451884E-1
2.714904583E-1,1.058461516E0,1.295068732E-1,4.234547728E-1,1.147356420E0
2.814944583E-1,1.683657508E0,1.588521116E-1,1.466183478E-1,1.697478582E0
2.914984584E-1,1.688561275E0,-3.588713989E-2,-3.090797263E-1,1.716990781E0
3.015024583E-1,1.548856675E0,-4.191094876E-1,-6.641659302E-1,1.736584621E0
3.115074583E-1,1.748671529E0,-7.970862982E-1,-1.166860415E0,2.248279767E0
3.215114584E-1,1.568269431E0,-8.578293671E-1,-1.850028627E0,2.572536910E0
3.315154583E-1,1.379762946E0,-6.487461647E-1,-1.072608562E0,1.864163753E0
3.415194583E-1,5.188533387E-1,-5.165640807E-1,1.769507790E-1,7.532322449E-1
3.515234584E-1,-1.131270533E0,-3.150685908E-1,-3.474590957E-2,1.174839783E0
3.615284583E-1,-2.635878331E0,-7.936498895E-3,-1.738160866E-1,2.641614960E0
3.715324583E-1,-4.146555904E0,4.385595196E-1,-6.934265667E-1,4.226949339E0
3.815364583E-1,-4.920137272E0,1.282513956E0,-1.270875365E0,5.240965275E0
3.915404583E-1,-3.369776401E0,1.642024455E0,-1.490464625E0,4.033995798E0
4.015454584E-1,-1.755875006E-1,1.482379680E0,-4.793364374E0,5.020420551E0
4.115494583E-1,2.796403696E0,1.487855598E0,-2.764648345E0,4.204386802E0
4.215534583E-1,3.154006542E0,9.039254531E-1,1.000408897E0,3.430110268E0
4.315574584E-1,1.491168338E0,2.724232391E-2,2.965789640E-1,1.520619689E0
4.415624583E-1,2.100875348E-1,-1.900841369E-1,5.245829523E-2,2.881329973E-1
4.515664583E-1,-4.388309035E-1,6.447359249E-2,-9.889074236E-1,1.083820695E0
4.615704584E-1,-5.862459344E-1,2.355477735E-1,-8.555564082E-1,1.063552451E0
4.715744583E-1,-6.161257911E-1,3.088144089E-1,-8.743283093E-1,1.113295703E0
4.815784583E-1,-8.549377728E-1,3.751113094E-1,-4.736156970E-1,1.046871013E0
4.915834583E-1,-1.315916760E0,3.603633159E-1,6.270296788E-1,1.501554147E0
5.015874583E-1,-1.673404707E0,2.996323800E-1,3.418691576E-1,1.734052306E0
5.115914583E-1,-1.573648869E0,2.900077169E-1,1.296912432E-1,1.605395608E0
5.215954583E-1,-1.418926865E0,4.849158798E-1,-5.821639931E-1,1.608543371E0
5.316004583E-1,-1.102198396E0,8.403334746E-1,-1.398024239E0,1.968622215E0
5.416044584E-1,-7.131638432E-1,1.266063984E0,-1.629740624E0,2.183477772E0
5.516084583E-1,1.455318182E0,1.556992199E0,-1.029104692E0,2.366692245E0
5.616124583E-1,5.398171125E0,1.629513168E0,-2.130908402E0,6.027962780E0
5.716174584E-1,2.909536502E0,-8.293135196E-2,-1.473885430E0,3.262609159E0
5.816214583E-1,2.198703943E0,-2.067122295E0,3.040002501E-1,3.033102334E0
5.916254583E-1,3.391652296E0,-3.159441821E0,1.051805338E0,4.753069786E0
6.016294584E-1,4.140785871E0,-4.704195505E0,1.056863179E0,6.355511211E0
6.116334583E-1,4.082304359E0,-6.653427408E0,5.595001853E-1,7.826004447E0
6.216384583E-1,3.692085160E0,-7.691077221E0,3.811507523E-1,8.539873392E0
6.316424584E-1,3.418158894E0,-7.016751169E0,1.242248567E0,7.903277086E0
6.416464583E-1,4.769843949E0,-6.706511940E0,1.087407280E0,8.301275100E0
6.516504583E-1,4.889073354E0,-6.589798007E0,-7.493698025E-1,8.239540711E0
6.616554583E-1,4.592594962E0,-6.032419192E0,-1.528235300E0,7.734178232E0
6.716594583E-1,4.453201434E0,-5.823809248E0,-1.479841404E0,7.479150203E0
6.816634584E-1,3.980173967E0,-6.079271761E0,-1.099682924E0,7.349056571E0
6.916674583E-1,2.978931842E0,-5.996321990E0,-2.295733809E-1,6.699448953E0
7.016724583E-1,1.214050369E0,-5.372503018E0,9.385570496E-1,5.587360406E0
7.116764584E-1,-8.768934828E-1,-4.477693666E0,2.071468531E0,5.010954462E0
7.216804583E-1,-2.360387058E0,-3.378524420E0,2.825428398E0,4.996889027E0
7.316844583E-1,-3.596786655E0,-2.086445589E0,2.865901655E0,5.050101160E0
7.416884584E-1,-5.054556574E0,-1.006716873E0,2.837682407E0,5.883405686E0
7.516934583E-1,-6.079316200E0,-1.107959658E-1,2.653247193E0,6.634009487E0
7.616974583E-1,-6.360450913E0,6.993825406E-1,2.220450908E0,6.773099290E0
7.717014584E-1,-6.725338220E0,9.123112375E-1,1.891527486E0,7.045591685E0
7.817054583E-1,-7.185065610E0,9.248982462E-1,9.268596947E-1,7.303401501E0
7.917104583E-1,-6.973376523E0,7.566083631E-1,1.192374741E0,7.114927538E0
8.017144583E-1,-7.930588530E0,1.343872005E0,-1.062069540E0,8.113459071E0
8.117187499E-1,-8.634376947E0,1.634809283E0,-3.509774238E0,9.462747057E0
8.217227500E-1,-8.083654017E0,1.492956416E0,-4.404283628E0,9.325883090E0
8.317277500E-1,-7.250346850E0,1.098118209E0,-6.270280416E0,9.648306045E0
8.417317499E-1,-5.343349970E0,2.540147424E-2,-4.963565712E0,7.293080194E0
8.517357500E-1,-4.866910653E0,-1.919088922E0,-1.109764109E0,5.348018134E0
8.617397500E-1,-4.633713752E0,-2.281243824E0,4.471634781E-1,5.184142330E0
8.717447500E-1,-3.462110075E0,-1.555734755E0,5.043059778E-1,3.828947809E0
8.817487500E-1,-2.923432410E0,-1.086530782E0,3.614953369E-1,3.139695061E0
8.917527500E-1,-2.062048666E0,-4.935102636E-1,-3.572894347E-1,2.150175068E0
9.017567500E-1,-1.907832447E0,-9.459917843E-1,-1.064241781E0,2.380616657E0
9.117607500E-1,-1.685200295E0,-1.532241812E0,-1.194556337E0,2.571892270E0
9.217657500E-1,-1.184614901E0,-3.447851640E-1,-2.033101441E0,2.378169620E0
9.317697500E-1,-1.065851519E0,7.761757779E-1,-2.660669648E0,2.969453026E0
9.417737500E-1,-1.049595090E0,2.343109120E0,-3.975677458E0,4.732633670E0
9.517777500E-1,-1.735859695E0,3.220859805E0,-4.055727010E0,5.462240231E0
9.617827500E-1,-2.678907114E0,3.034472204E0,-2.926269479E0,4.994759048E0
9.717867500E-1,-1.724174911E0,2.506220709E0,-5.883041543E-1,3.098390412E0
9.817907499E-1,9.917532635E-1,3.499439870E0,1.108217520E0,3.802341385E0
9.917947500E-1,2.884169234E0,4.691929216E0,-1.346665805E0,5.669756672E0
1.001799750E0,2.561238623E0,4.357900590E0,-2.474430567E-1,5.060876298E0
1.011803750E0,3.879860597E0,5.908628374E0,1.438367688E0,7.213467205E0
1.021807750E0,2.126201978E0,8.282510220E0,-6.740246866E0,1.088814209E1
1.031811750E0,3.023180062E0,8.062325714E0,-5.584369276E0,1.026284044E1
1.041815750E0,4.051414104E0,7.746131680E0,-6.474402037E0,1.087816133E1
1.051820750E0,4.177858388E0,6.848991628E0,-5.818764271E0,9.910661162E0
1.061824750E0,4.243561211E0,5.662881010E0,-5.416619675E0,8.911554398E0
1.071828750E0,3.941135324E0,4.648989603E0,-3.934059316E0,7.254135005E0
1.081832750E0,2.317916391E0,3.820480075E0,-1.641744958E0,4.760685971E0
1.091837750E0,6.546089485E-1,3.038310317E0,-8.306729972E-2,3.109138568E0
1.101841750E0,6.041083011E-1,1.599111739E0,1.616862717E0,2.352945014E0
1.111845750E0,6.067778474E-1,2.889313906E-1,2.397601662E0,2.490010930E0
1.121849750E0,6.946477577E-1,-9.093753505E-1,6.313837495E0,6.416700316E0
1.131854750E0,1.038326921E0,-2.485218680E0,9.974499718E0,1.033175103E1
1.141858750E0,1.481448219E0,-5.307929876E0,1.299611740E1,1.411622740E1
1.151862750E0,2.044316400E0,-7.618931935E0,1.348629651E1,1.562394146E1
1.161866750E0,-1.147988527E0,-7.406100887E0,4.908158666E0,8.958695748E0
1.171871750E0,-3.419384471E0,-4.810955138E0,3.985579133E-1,5.915769426E0
1.181875750E0,-4.086319934E0,-2.764860014E0,-2.162467579E0,5.386903334E0
1.191879750E0,-4.956195881E0,-3.550908816E0,-2.856340288E0,6.732867953E0
1.201883750E0,-5.067891734E0,-4.845136791E0,-2.306044790E0,7.380834622E0
1.211887750E0,-4.450753790E0,-5.307303640E0,-1.865139002E0,7.173243668E0
1.221892750E0,-3.115190385E0,-4.757671216E0,-1.771306393E0,5.956288515E0
1.231896750E0,-2.031060762E0,-4.332667515E0,-1.723444009E0,5.086007754E0
1.241900750E0,-1.486182417E0,-4.208673214E0,-9.726024628E-1,4.568109451E0
1.251904750E0,-7.686869565E-1,-3.897591401E0,5.678780758E-1,4.013051691E0
1.261909750E0,-5.650680502E-1,-2.950659385E0,1.119284545E0,3.206008515E0
1.271913750E0,-6.815135957E-1,-1.154290071E0,-8.793382037E-1,1.603147537E0
1.281917750E0,-9.441811940E-1,-2.995253760E-1,-1.757163148E0,2.017130612E0
