"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.062083507E-4,2.668994475E-1,4.538548855E-1,3.262114835E-1,6.193815498E-1
1.081020827E-2,1.235755672E-1,8.622872112E-1,-5.556784451E-1,1.033241835E0
2.081520832E-2,2.535206527E-2,1.043834998E0,-1.276198086E0,1.648913516E0
3.081920836E-2,-1.426811982E-2,7.986398303E-1,-1.559099243E0,1.751804671E0
4.082320828E-2,7.047813479E-2,3.387713027E-1,-1.160523788E0,1.211011406E0
5.082720832E-2,1.384435383E-1,-1.192377372E-1,-3.105058622E-1,3.602750918E-1
6.083120836E-2,5.638144802E-2,-5.041823823E-1,5.634295142E-1,7.581764701E-1
7.083520829E-2,-1.461068626E-1,-6.773644115E-1,1.213652174E0,1.397541184E0
8.084020833E-2,-1.122139521E-1,-6.230115453E-1,1.264486697E0,1.414094044E0
9.084420837E-2,4.518775765E-2,-3.653843931E-1,8.226494479E-1,9.012767623E-1
1.008482083E-1,6.741547287E-2,-1.091503400E-1,9.317187309E-2,1.585548506E-1
1.108522083E-1,1.983867081E-1,3.081843714E-1,-6.474569267E-1,7.439995730E-1
1.208562084E-1,2.737597298E-1,6.241971414E-1,-1.133314939E0,1.322485997E0
1.308602083E-1,1.897815070E-1,5.758445783E-1,-1.111320637E0,1.265957171E0
1.408652083E-1,1.329075772E-1,3.136452689E-1,-8.081495225E-1,8.770082266E-1
1.508692083E-1,9.376185715E-2,1.004077659E-1,-3.662450302E-1,3.911629167E-1
1.608732083E-1,1.360279804E-1,-5.497380394E-2,2.325145304E-1,2.749340602E-1
1.708772084E-1,1.793701741E-1,-2.067961005E-1,6.900574011E-1,7.423728870E-1
1.808812083E-1,2.340790626E-1,-2.511909392E-1,8.380305487E-1,9.056407102E-1
1.908852083E-1,3.427349475E-1,-1.912323108E-1,7.995669794E-1,8.906988242E-1
2.008892084E-1,4.707352490E-1,-8.131022969E-2,5.854384339E-1,7.556065034E-1
2.108942083E-1,4.076789119E-1,-1.114183288E-2,3.502382773E-1,5.375807721E-1
2.208982083E-1,1.708426679E-1,-1.605551863E-1,1.226219594E-2,2.347670046E-1
2.309022084E-1,-2.406265006E-1,-1.842863668E-1,-1.058574075E-1,3.210426272E-1
2.409062083E-1,-5.143822653E-1,-2.364334805E-1,-8.887241542E-2,5.730516659E-1
2.509102083E-1,-5.769218547E-1,-4.771561861E-1,-1.141510981E-1,7.573290735E-1
2.609142084E-1,-4.272493965E-1,-4.900515990E-1,1.526485813E-1,6.678279762E-1
2.709192083E-1,-3.273649199E-1,-5.375095015E-2,3.234445810E-1,4.633285577E-1
2.809232083E-1,-3.094441175E-1,-1.927796623E-2,1.025244945E-1,3.265556213E-1
2.909272084E-1,-2.056186906E-1,-9.948572396E-2,1.654294252E-2,2.290199208E-1
3.009312083E-1,-1.256137239E-1,-1.945686407E-1,-3.867114544E-2,2.348003856E-1
3.109352083E-1,-2.021555127E-1,-2.250537391E-1,-4.212392628E-2,3.054348735E-1
3.209392084E-1,-2.478438833E-1,-1.970977259E-1,1.940398514E-2,3.172548167E-1
3.309432083E-1,-1.924940669E-1,-1.985323951E-1,2.076264417E-1,3.458002559E-1
3.409482084E-1,-7.192331982E-2,-1.521820465E-1,3.577303147E-1,3.953521434E-1
3.509522083E-1,-8.202094962E-3,-8.221256470E-2,4.181712288E-1,4.262550372E-1
3.609562083E-1,-5.436914703E-3,-9.965976086E-3,3.699024636E-1,3.700766316E-1
3.709602084E-1,3.908052363E-2,2.019842075E-2,2.403310883E-1,2.443241608E-1
3.809642083E-1,9.251746003E-2,1.205156827E-2,2.222468197E-2,9.590963036E-2
3.909682083E-1,1.674346548E-1,4.586395159E-2,-1.821425217E-1,2.516222643E-1
4.009732084E-1,2.272216308E-1,2.150923859E-2,-2.226765901E-1,3.188685946E-1
4.109772083E-1,1.778680975E-1,9.340481155E-2,2.523833692E-2,2.024808449E-1
4.209812083E-1,1.359643919E-1,1.625318010E-1,3.168951148E-1,3.812157079E-1
4.309852084E-1,-9.616188336E-2,-1.217306976E-1,3.153181207E-1,3.514128452E-1
4.409892083E-1,-4.384457912E-1,-4.700134833E-1,1.722016704E-1,6.654327927E-1
4.509932083E-1,-5.609736105E-1,-4.626439085E-1,7.580546719E-1,1.050417852E0
4.609972084E-1,-6.319960114E-1,-1.852617920E-1,1.511276035E0,1.648543644E0
4.710022083E-1,-2.893277588E-1,-1.488243926E-1,-1.978183222E-1,3.807772845E-1
4.810062083E-1,-5.969385915E-3,-1.464294096E-1,2.928583807E-1,3.274801318E-1
4.910102084E-1,1.035629600E-2,1.100920707E-1,5.065431225E-1,5.184722286E-1
5.010142083E-1,-1.012402998E-1,4.034636907E-1,6.609563935E-1,7.809583229E-1
5.110182083E-1,-7.499833216E-1,2.891092556E-1,3.801345062E-1,8.891351906E-1
5.210222083E-1,-1.152332350E0,-5.890216076E-1,-5.392770052E-1,1.402011408E0
5.310272083E-1,-3.561339518E-1,-3.737743436E-1,-4.092729360E-1,6.588193893E-1
5.410312084E-1,-4.301248379E-1,-1.648460558E-1,4.301849180E-1,6.302703087E-1
5.510352083E-1,-1.841855974E0,-3.971456645E-1,7.900249082E-1,2.043109753E0
5.610392083E-1,-1.054806860E0,-9.046263881E-2,6.951947647E-1,1.266529416E0
5.710432084E-1,2.772837371E-1,1.680857422E-1,1.501232273E0,1.535850717E0
5.810472083E-1,7.269126937E-1,5.088669888E-1,3.047231414E0,3.173793781E0
5.910522083E-1,1.080422196E0,5.310591090E-1,3.638836906E0,3.832814883E0
6.010562084E-1,9.168843448E-1,-5.962828628E-1,5.185224887E0,5.299319511E0
6.110602083E-1,2.811662883E-1,-1.913375607E0,4.849746736E0,5.221120962E0
6.210642083E-1,-8.411298653E-1,-4.243172664E0,3.894398822E0,5.820511652E0
6.310682084E-1,-2.616098077E0,-5.997914187E0,2.281356676E0,6.929901300E0
6.410722083E-1,-6.060096402E0,-6.303694915E0,1.174458872E0,8.822737196E0
6.510762083E-1,-7.892513216E0,-5.051339436E0,1.005433994E0,9.424366953E0
6.610812084E-1,-4.290461143E0,-4.926452265E0,9.756623107E-1,6.605293762E0
6.710852083E-1,-1.827912118E0,-5.440060578E0,1.110266969E0,5.845358376E0
6.810892083E-1,-1.252738472E0,-4.621254213E0,5.025968367E-1,4.814348113E0
6.910932083E-1,-3.196649408E-1,-3.218266565E0,-2.158265769E-1,3.241297035E0
7.010972083E-1,1.192761242E0,-2.388998361E0,6.941218007E-1,2.758948644E0
7.111012083E-1,1.981978065E-1,-2.957944431E0,2.542445964E0,3.905476809E0
7.211062083E-1,-9.150892496E-1,-4.568817844E0,2.536684118E0,5.305304058E0
7.311102083E-1,-1.058680494E0,-5.313293527E0,9.406953764E-1,5.498799895E0
7.411142084E-1,-2.879375979E0,-7.097091327E0,-5.852934229E-1,7.681281125E0
7.511182083E-1,-3.949873695E0,-7.076872825E0,-1.924906316E0,8.329999731E0
7.611222083E-1,-2.302952782E0,-4.950654475E0,-3.456190939E0,6.462029639E0
7.711262084E-1,7.661448795E-1,-2.484534848E0,-6.175685331E0,6.700670167E0
7.811302083E-1,4.056546205E0,9.509063691E-1,-1.068408156E1,1.146775430E1
7.911352083E-1,1.073555810E1,6.408769380E0,-1.779443963E1,2.174779563E1
8.011392084E-1,1.092446995E1,9.407851896E0,-1.540864584E1,2.110161339E1
8.111432083E-1,6.466552734E0,7.268193136E0,-7.571821504E0,1.232783098E1
8.211472083E-1,3.654139654E0,3.092761928E0,-4.344257281E0,6.464556000E0
8.311512084E-1,-1.173875320E-1,-7.751009135E-1,-2.321202527E0,2.450008659E0
8.411552083E-1,-4.188016756E0,-2.233691051E0,-5.239204627E-1,4.775285615E0
8.511602083E-1,-5.939935536E0,-1.680357485E0,2.724451661E-1,6.179050236E0
8.611642083E-1,-6.446118470E0,-6.688020413E-1,-3.217974204E-1,6.488705039E0
8.711682083E-1,-5.795865405E0,7.205737272E-1,-9.147808090E-1,5.911692331E0
8.811722083E-1,-5.235340202E0,1.987940471E0,-1.135889761E0,5.714100095E0
8.911762083E-1,-2.679004177E0,3.121720556E0,3.243231252E-1,4.126425584E0
9.011802083E-1,1.061115274E0,4.094339683E0,1.798100382E0,4.595949091E0
9.111842084E-1,2.986145552E0,4.400206364E0,2.494574225E-1,5.323636944E0
9.211892083E-1,5.919217681E0,4.479968233E0,-2.067272861E0,7.705898417E0
9.311932083E-1,6.828880715E0,2.762416171E0,-2.618470877E-2,7.366494455E0
9.411972084E-1,6.950488182E0,8.121870250E-1,2.243303435E0,7.348560678E0
9.512012083E-1,4.909460841E0,-4.896630880E-1,1.970710480E0,5.312840623E0
9.612052083E-1,3.106430379E0,-9.298932302E-1,1.246789368E0,3.474060283E0
9.712092084E-1,1.927425882E0,-1.376322883E0,6.744370030E-1,2.462539437E0
9.812135000E-1,5.773751235E-1,-1.875028397E0,3.184680158E-1,1.987590351E0
9.912185000E-1,-5.268124956E-1,-2.563595343E0,8.208159073E-1,2.742861871E0
1.001222500E0,-1.255096654E0,-2.553570292E0,1.268205526E0,3.115178021E0
1.011226500E0,-2.045323876E0,-2.199708495E0,7.862446833E-1,3.104874864E0
1.021230500E0,-2.642701739E0,-2.316973236E0,-4.638537705E-1,3.545052577E0
1.031234500E0,-3.768551538E0,-2.164020599E0,-6.733893281E-1,4.397546934E0
1.041238500E0,-3.767438813E0,-9.274257052E-1,-8.040845382E-1,3.962356066E0
1.051243500E0,-2.389703243E0,-2.307381463E-1,6.238745213E-1,2.480552579E0
1.061247500E0,1.052292995E0,2.166475845E0,8.243346155E-1,2.545675881E0
1.071251500E0,2.303328173E0,4.353091255E0,-1.481140655E-1,4.927135265E0
1.081255500E0,2.543475074E0,4.757873529E0,-1.126670748E0,5.511443817E0
1.091259500E0,8.791241956E-1,3.813160531E0,-1.181236964E0,4.087587718E0
1.101263500E0,1.240597898E-1,2.790948536E0,-8.283656859E-1,2.913927637E0
1.111267500E0,7.806184924E-1,2.981301134E0,-5.743491894E-1,3.134868206E0
1.121272500E0,8.965658551E-1,3.585339561E0,1.687570757E-1,3.699590389E0
1.131276500E0,1.162008396E0,4.293374226E0,5.705297881E-1,4.484287011E0
1.141280500E0,1.615737128E0,4.926370404E0,5.602591538E-1,5.214750439E0
1.151284500E0,1.539095918E0,4.839382546E0,-6.344754776E-2,5.078628285E0
1.161288500E0,1.661756469E0,4.870838227E0,-4.916327226E-1,5.169932527E0
1.171292500E0,1.490416093E0,6.128547417E0,-2.433687168E-1,6.311866753E0
1.181296500E0,1.307170494E0,3.303555222E0,-1.693493401E0,3.935745381E0
1.191301500E0,9.033211434E-1,1.433461289E0,-1.590896401E0,2.324166887E0
1.201305500E0,-9.509914461E-1,-6.362776351E-1,4.898463982E-1,1.244661984E0
1.211309500E0,-2.607389819E0,-6.406358573E0,-1.930224359E-1,6.919333024E0
1.221313500E0,-1.621572357E0,-7.669979298E0,-4.202652921E0,8.894963232E0
1.231317500E0,2.053985064E0,7.265539670E-1,-1.288674874E0,2.531287862E0
1.241321500E0,3.056424699E0,1.953964055E-1,1.864205201E0,3.585411096E0
1.251326500E0,1.355382249E0,-3.921351562E0,5.583125573E0,6.955957898E0
1.261330500E0,-1.589306543E0,-6.704195858E0,6.789228407E0,9.672939561E0
1.271334500E0,-4.174101259E0,-4.757365991E0,3.416366723E0,7.192163380E0
1.281338500E0,-1.478766978E0,-2.675437376E0,-4.828420186E-1,3.094810712E0
1.291342500E0,1.102170037E0,-1.709164524E0,-1.512165982E0,2.534298348E0
1.301346500E0,1.135898824E0,-1.335332147E0,-8.261730532E-1,1.938024766E0
1.311350500E0,5.861643657E-1,-5.011940897E-2,-4.450052708E-1,7.376518893E-1
1.321355500E0,4.429312634E-1,1.848814745E0,-6.865110648E-1,2.021287092E0
1.331359500E0,3.441478175E-1,3.099208483E0,-7.100618953E-1,3.198080493E0
1.341363500E0,6.778051454E-1,3.538796309E0,-8.810023212E-1,3.709267343E0
1.351367500E0,5.151844302E-1,4.003416064E0,-6.134723977E-1,4.082781352E0
1.361371500E0,5.897492936E-1,5.393657075E0,6.395660361E-1,5.463367605E0
1.371375500E0,1.308139086E-2,5.190352310E0,2.526611120E0,5.772667665E0
1.381379500E0,3.800242862E-1,5.091278257E0,2.970765620E0,5.906858820E0
1.391384500E0,6.290343967E-1,4.956959528E0,1.674125669E0,5.269708606E0
1.401388500E0,4.482721102E-1,4.099927282E0,-9.957866728E-1,4.242869631E0
1.411392500E0,1.292975794E-1,2.944967120E0,-1.789895861E0,3.448662987E0
1.421396500E0,1.989237383E-1,1.650262597E0,-7.245928109E-1,1.813276602E0
1.431400500E0,-3.583374019E-1,2.079007346E0,-9.771340549E-1,2.324966279E0
1.441404500E0,-1.709360406E-2,2.623255654E0,2.646953030E-1,2.636631567E0
1.451409500E0,2.029472074E-1,2.398554758E0,-1.220610945E0,2.698915259E0
1.461413500E0,-1.440027713E0,2.985155033E0,-1.757340903E0,3.751410060E0
1.471417500E0,-2.413137714E0,2.981048534E0,-7.620033697E-1,3.910311129E0
1.481421500E0,-2.077741424E0,2.984850978E0,5.160881174E-1,3.673239950E0
1.491425500E0,-2.197168026E0,3.212097752E0,1.263267553E0,4.091572340E0
1.501429500E0,-2.038101249E0,3.855400232E0,9.792810794E-1,4.469559160E0
1.511433500E0,-2.373823667E0,4.027690780E-1,-7.930859256E-1,2.535004343E0
1.521438500E0,-1.195751157E1,-2.414199568E1,-2.294620500E0,2.703855251E1
1.531442500E0,-1.107804356E1,-3.886648454E1,-2.553300151E0,4.049501218E1
1.541446500E0,4.171188469E0,-1.414070402E1,-1.544207554E0,1.482372761E1
1.551450500E0,8.590373726E0,-1.838969788E0,1.471423752E0,8.907380001E0
1.561454500E0,8.904411306E0,-1.860642493E-2,1.753782288E0,9.075496638E0
1.571458500E0,7.249081512E0,9.996370643E-1,5.375813127E-1,7.337400813E0
1.581462500E0,5.008589272E0,1.615206785E0,4.132274079E-1,5.278789288E0
1.591467500E0,3.253442245E0,1.487899452E0,7.634686089E-1,3.658089055E0
1.601471500E0,1.405278441E0,9.029855132E-2,9.985114753E-2,1.411712285E0
1.611475500E0,-1.600042324E-1,-1.383876316E0,-9.495294412E-2,1.396327710E0
1.621479500E0,-6.497189221E-1,-1.841124487E-1,-9.688260751E-3,6.753709602E-1
1.631483500E0,-6.764601396E-1,1.800036687E0,-1.713479769E-1,1.930567410E0
1.641487500E0,-7.812691413E-1,2.684522195E0,-4.998375356E-1,2.840225070E0
1.651492500E0,-2.108600982E-1,3.882630131E0,-5.727324343E-1,3.930305478E0
1.661496500E0,3.303887343E-1,3.023588197E0,3.891614377E-1,3.066380428E0
1.671500500E0,5.093614805E-1,-5.482045341E-1,1.290468800E0,1.491739606E0
1.681504500E0,5.349817868E-1,-1.571742677E0,1.167871984E0,2.029902836E0
1.691508500E0,-1.494953533E0,-2.113727528E0,1.641696426E0,3.065599009E0
1.701512500E0,-3.607543193E0,-2.640202054E0,1.701680088E0,4.783382683E0
1.711516500E0,-4.649518776E0,-2.914996632E0,-7.495136440E-1,5.538682236E0
1.721521500E0,-3.950655468E0,-2.059933729E0,-2.484652669E0,5.101421810E0
1.731525500E0,-2.863128321E0,-1.453027827E0,-2.054869455E0,3.811991884E0
1.741529500E0,-2.523386380E0,-1.402245929E0,-1.564374601E0,3.283449460E0
1.751533500E0,-2.298705072E0,-1.121976603E0,-1.326435024E0,2.881372308E0
1.761537500E0,-1.966534691E0,-6.084419650E-1,-1.097226509E0,2.332673644E0
1.771541500E0,-1.491407781E0,8.618386567E-2,-8.577415127E-1,1.722627450E0
1.781545500E0,-9.965283921E-1,7.411018395E-1,-5.548288447E-1,1.360196978E0
1.791550500E0,-7.684277786E-1,9.925584251E-1,-2.271748531E-1,1.275641757E0
1.801554500E0,-7.030464059E-1,1.091212063E0,1.378902090E-1,1.305385661E0
1.811558500E0,-9.454402457E-1,8.022064126E-1,8.368476570E-1,1.495896516E0
1.821562500E0,-1.009519151E0,6.665942788E-1,1.405405179E0,1.854357184E0
1.831566500E0,-8.191186067E-1,3.983503371E-1,1.195980134E0,1.503331887E0
1.841570500E0,-2.864482243E-1,-4.001483560E-2,4.658418238E-1,5.483268889E-1
