"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.142917555E-4,4.420857561E-1,1.046969983E0,1.631396556E0,1.988225511E0
1.061829168E-2,4.185883545E-1,6.504200032E-1,8.388959366E-1,1.141055995E0
2.062229172E-2,1.358253671E0,1.687971291E-1,3.013333350E-1,1.401480390E0
3.062629176E-2,1.825558906E0,-1.510432282E-1,7.241513461E-1,1.969739716E0
4.063029168E-2,1.041614810E0,-5.673708299E-1,-4.318461120E-2,1.186901842E0
5.063429172E-2,2.310796237E-1,-4.168868878E-1,-4.593689561E-1,6.619760627E-1
6.063829176E-2,-2.082724129E-1,-8.230072975E-2,-3.224517238E-1,3.925887445E-1
7.064229168E-2,-2.006691322E-1,-5.144643456E-2,-3.618970406E-1,4.169943695E-1
8.064629172E-2,-2.763116375E-1,-2.676998582E-1,-3.760315150E-1,5.379693629E-1
9.065129177E-2,-5.466469820E-1,-2.814364296E-1,-3.989034837E-1,7.329074813E-1
1.006552917E-1,-5.216137362E-1,-9.798120797E-2,-4.552677190E-1,6.992495283E-1
1.106592917E-1,-4.039800364E-1,5.882298946E-2,-4.509179753E-1,6.082655952E-1
1.206632918E-1,-1.133628935E-1,1.324569762E-1,-3.500371331E-1,3.910524143E-1
1.306672917E-1,2.017228004E-1,3.170184910E-2,-4.472663891E-1,4.916750129E-1
1.406712917E-1,-6.846066266E-1,4.649969012E-2,2.868936360E-1,7.437448573E-1
1.506752918E-1,-1.999158939E0,-1.241910598E-1,9.235723901E-1,2.205684891E0
1.606792917E-1,-7.158142398E-1,3.551563704E-1,2.619663709E-1,8.409235714E-1
1.706841667E-1,-4.267837389E-1,6.744254547E-1,1.203846393E0,1.444382287E0
1.806881668E-1,5.500626330E-1,2.951206684E-1,-5.581985950E-1,8.374071773E-1
1.906921667E-1,7.238921683E-1,-5.092164695E-2,-4.534164906E-1,8.556865076E-1
2.006961667E-1,5.244012500E-1,8.136722177E-2,-1.643009126E-1,5.555286543E-1
2.107001668E-1,4.865060301E-1,4.593759727E-1,-2.579300380E-1,7.171069001E-1
2.207051667E-1,6.138212572E-1,5.971816894E-1,-2.979285014E-1,9.067325394E-1
2.307091667E-1,7.587133607E-1,6.964960626E-1,-3.343063688E-1,1.082826615E0
2.407131668E-1,6.979591821E-1,6.497148290E-1,-2.472723180E-1,9.850989687E-1
2.507171667E-1,6.146729042E-1,3.340540615E-1,1.165958190E-1,7.092316125E-1
2.607211667E-1,5.339398129E-1,-2.655442822E-1,-2.711353898E-3,5.963328274E-1
2.707251668E-1,7.494314906E-1,-9.350338098E-1,-3.297712684E-1,1.242853521E0
2.807291667E-1,8.665455191E-1,-1.563764444E0,-5.817160964E-1,1.880067549E0
2.907331667E-1,4.621083766E-1,-1.346080499E0,7.022389054E-2,1.424923947E0
3.007371668E-1,-4.813501015E-1,-8.223412997E-1,5.137714505E-2,9.542445936E-1
3.107411667E-1,-8.463372494E-1,-2.835750487E-1,1.801170462E-1,9.105732801E-1
3.207451667E-1,-1.801691303E0,-2.517726275E-1,6.793201590E-1,1.941895179E0
3.307491668E-1,-2.226941902E0,-5.074563114E-1,2.235908607E0,3.196258663E0
3.407541667E-1,-1.265090422E0,-3.291385996E-1,3.864714262E0,4.079804201E0
3.507581668E-1,-8.248702204E-1,-1.219660480E-1,1.338122438E0,1.576660476E0
3.607621667E-1,-3.094551176E-1,4.708353460E-2,-6.005160642E-1,6.771992856E-1
3.707661667E-1,6.036171350E-1,8.263453268E-2,2.113204787E0,2.199276377E0
3.807701668E-1,6.102738976E-1,-1.883155004E-1,2.573518653E0,2.651583530E0
3.907741667E-1,1.059890867E0,-2.712205399E-1,1.177911068E0,1.607608073E0
4.007781667E-1,9.409637636E-1,6.200877913E-1,-1.369341892E-1,1.135197184E0
4.107821668E-1,-2.432131809E-1,6.230037247E-1,-2.209370434E-2,6.691594908E-1
4.207861667E-1,-7.535926616E-1,4.640035323E-1,-8.089587772E-1,1.199006039E0
4.307901667E-1,2.868000805E-2,8.956729853E-1,-2.052957416E-1,9.193470406E-1
4.407941668E-1,1.539221048E-2,4.447712360E-1,-1.560481524E-1,4.716030093E-1
4.507981667E-1,-4.758312070E-1,-2.836846840E-1,-3.425871956E-1,6.513511527E-1
4.608021667E-1,-1.059916010E0,-6.598768513E-1,-2.820585734E-1,1.280006425E0
4.708061668E-1,-1.885669745E0,-7.343921596E-1,-7.715634942E-2,2.025101315E0
4.808111667E-1,-4.454474958E0,-1.112379861E0,4.436393613E-1,4.612651297E0
4.908151667E-1,-5.118143874E0,-1.580698273E0,4.574943388E-1,5.376179389E0
5.008191668E-1,-5.519949916E0,-2.857680470E0,-3.791802406E-2,6.215916869E0
5.108231667E-1,-5.896289579E0,-4.727503968E0,-7.173633134E-1,7.591451422E0
5.208271667E-1,-4.048094054E0,-5.854717630E0,-1.540777577E0,7.282772792E0
5.308311668E-1,-5.270200717E-1,-5.375916038E0,-2.064570571E0,5.782791284E0
5.408351667E-1,1.153490172E0,-2.777073094E0,-9.084509057E-1,3.141330545E0
5.508391667E-1,2.333249545E0,-1.162251055E-2,4.332307327E-1,2.373157683E0
5.608431668E-1,2.005110819E0,-1.589593349E-1,1.106569775E0,2.295699051E0
5.708471667E-1,2.496223140E-1,-9.064138819E-1,-5.764103329E-1,1.102790232E0
5.808511667E-1,3.785855788E-1,7.243004501E-2,-2.991517974E0,3.016248156E0
5.908551667E-1,1.190103098E0,6.030996564E-1,-3.818119555E0,4.044516227E0
6.008601667E-1,2.073695735E0,1.596171467E0,-3.555940930E0,4.415053029E0
6.108641668E-1,2.438177830E0,2.886761889E0,-3.397187271E0,5.081238696E0
6.208681667E-1,1.348467917E0,2.250894436E0,-2.397080675E0,3.553995955E0
6.308721667E-1,6.729174578E-1,1.430607848E0,-1.719021176E0,2.335485072E0
6.408761668E-1,9.782403481E-1,1.422730772E0,-1.104340231E0,2.049557117E0
6.508801667E-1,1.995388654E0,1.685733269E0,-1.469732738E-1,2.616270949E0
6.608841667E-1,2.671558918E0,1.837726962E0,4.025486380E-1,3.267493358E0
6.708881668E-1,3.072700131E0,2.128868893E0,4.324738106E-1,3.763057594E0
6.808921667E-1,3.271589078E0,2.732454453E0,-8.571433425E-3,4.262590281E0
