"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.369333339E-3,-6.660709530E-2,2.585252845E-1,1.861648214E-1,3.254676153E-1
1.337333338E-2,-7.474415369E-2,1.702095240E-1,2.381758046E-1,3.021352090E-1
2.337833331E-2,-9.747366965E-2,5.178820431E-2,2.675270730E-1,2.894026074E-1
3.338233335E-2,-1.010143780E-1,4.868976474E-3,2.233004880E-1,2.451340846E-1
4.338633339E-2,-8.507961899E-2,3.630887032E-2,1.358635640E-1,1.643647884E-1
5.339133332E-2,-1.279671185E-1,3.962014854E-2,2.026703417E-1,2.429415712E-1
6.339533336E-2,-1.553874902E-1,4.805241823E-2,2.666681170E-1,3.123558734E-1
7.340033341E-2,-8.648178130E-2,1.474901676E-2,2.195173395E-1,2.363990151E-1
8.340433333E-2,-1.146777861E-2,-3.099609017E-3,1.799550784E-1,1.803467431E-1
9.340833337E-2,4.673321329E-2,-1.173887014E-2,1.572047317E-1,1.644236053E-1
1.034133333E-1,1.113238232E-1,-1.269196630E-2,1.446390653E-1,1.829604843E-1
1.134173333E-1,6.933767192E-2,-8.142774045E-2,7.791064024E-2,1.323187724E-1
1.234213334E-1,2.603406988E-2,-1.079279065E-1,2.271058559E-2,1.133224448E-1
1.334263333E-1,-3.574183658E-2,-1.014065069E-1,-5.705011368E-2,1.217188317E-1
1.434303334E-1,-1.403858006E-2,-5.221738994E-2,-9.824901044E-2,1.121454662E-1
1.534343334E-1,-3.730289698E-2,1.004960954E-2,-1.383544779E-1,1.436470060E-1
1.634393333E-1,-7.762792736E-2,6.212198853E-2,-1.755117792E-1,2.017166855E-1
1.734433334E-1,-1.075555851E-1,7.216984391E-2,-1.889697307E-1,2.290987765E-1
1.834483334E-1,-8.366693169E-2,1.829593778E-2,-1.336843067E-1,1.587652061E-1
1.934523333E-1,-2.308100671E-2,-1.442917407E-2,-1.487327009E-1,1.512030101E-1
2.034563334E-1,-4.819414012E-2,-4.423126280E-2,-2.822450995E-1,2.897263812E-1
2.134613333E-1,-7.118926585E-2,-9.949037433E-3,-2.935986382E-1,3.022698385E-1
2.234653333E-1,-8.400767818E-3,5.879375339E-3,-2.996241939E-1,2.997995956E-1
2.334693334E-1,7.671283811E-2,-7.128399074E-2,-2.477061814E-1,2.689323691E-1
2.434743333E-1,5.353900686E-2,-1.061550307E-1,-2.347393960E-1,2.631309557E-1
2.534783334E-1,-1.045415647E-1,-1.587589216E-1,-2.255347091E-1,2.949563340E-1
2.634823334E-1,-1.376183134E-1,-4.719229281E-2,-1.659375483E-1,2.206834444E-1
2.734873333E-1,-1.864835677E-1,4.231103718E-2,-3.165776110E-1,3.698482509E-1
2.834913334E-1,-2.568825093E-1,8.967289925E-3,-5.123763049E-1,5.732351295E-1
2.934953334E-1,-2.280329320E-1,1.589273214E-2,-5.129417306E-1,5.615699565E-1
3.035003333E-1,-2.979490397E-1,7.186695814E-2,-3.362055445E-1,4.549424778E-1
3.135043334E-1,-4.542240641E-1,1.950549281E-1,-9.774381101E-2,5.039045326E-1
3.235093333E-1,-5.050856309E-1,2.224286681E-1,-2.060874546E-1,5.891163263E-1
3.335133333E-1,-4.756147139E-1,2.952305961E-1,-1.534087193E-1,5.804349198E-1
3.435173334E-1,-2.919115703E-1,5.330558601E-1,-2.873924035E-1,6.722762144E-1
3.535223333E-1,-1.137267365E-1,4.773394963E-1,-8.112485468E-1,9.481091551E-1
3.635263334E-1,1.397778364E-1,7.118917814E-1,-8.889755845E-1,1.147434243E0
3.735303334E-1,2.553359208E-1,1.253205079E0,-7.907505476E-1,1.503664135E0
3.835353333E-1,8.007677051E-1,1.704327707E0,-9.276899993E-1,2.099183314E0
3.935393334E-1,7.623900899E-1,2.086720116E0,-1.363315752E0,2.606581925E0
4.035433334E-1,1.098131365E0,2.324607360E0,-1.951090733E0,3.227452079E0
4.135483333E-1,2.179628133E0,1.741211944E0,-2.252914649E0,3.585836339E0
4.235523334E-1,3.149789530E0,8.451691219E-1,-2.665418172E0,4.211880691E0
4.335563333E-1,3.320651603E0,-1.005878967E-1,-3.011117256E0,4.483711869E0
4.435613333E-1,3.547120990E0,-5.949749503E-1,-3.673541300E0,5.141105736E0
4.535653334E-1,3.950893742E0,-8.363301784E-1,-3.628566272E0,5.429134620E0
4.635693333E-1,4.070877438E0,-2.199951739E0,-4.835328087E0,6.692699640E0
4.735743334E-1,2.644241311E0,-3.663151675E0,-4.390500571E0,6.299776787E0
4.835783334E-1,1.051093147E0,-3.136523367E0,-2.332149099E0,4.047405966E0
4.935833333E-1,1.672549260E-1,-2.146279562E0,-8.624286407E-1,2.319110461E0
5.035868750E-1,2.534129177E-1,-5.554726231E-1,-2.708204588E0,2.776173631E0
5.135908750E-1,1.014232884E0,-5.244759482E-1,-1.976295741E0,2.282430331E0
5.235958750E-1,1.017973640E0,-4.461270592E-1,-5.043650347E-1,1.220526023E0
5.335998751E-1,1.865116197E0,2.086915120E-1,1.552087846E0,2.435402895E0
5.436038750E-1,2.087878449E0,3.096507069E-1,-1.050632971E0,2.357742484E0
5.536088750E-1,1.163398864E0,6.577933422E-1,-1.912160556E0,2.332926700E0
5.636128751E-1,1.320705337E0,4.187457177E-1,-2.316418920E0,2.699149343E0
5.736168750E-1,8.711851385E-1,1.211905318E0,-3.735058102E0,4.022230360E0
5.836218750E-1,1.027545094E0,2.682732947E0,-2.457380086E0,3.780426150E0
5.936258751E-1,4.230842055E-1,3.007857725E0,7.169621944E-2,3.038313461E0
6.036298750E-1,-3.746736453E-1,1.413748571E0,2.780811219E0,3.141970146E0
6.136348750E-1,-1.512531433E0,-1.078491007E0,9.218924850E-1,2.073832187E0
6.236388750E-1,8.833565564E-1,-2.373635387E0,3.125238533E0,4.022633421E0
6.336438750E-1,5.542211435E0,-4.173442863E0,6.203132746E0,9.306588461E0
6.436478751E-1,6.299862065E0,-1.818184544E0,4.677412333E0,8.054330711E0
6.536518750E-1,4.226263393E0,2.341571595E-1,3.663007541E0,5.597656303E0
6.636568750E-1,2.873384922E0,6.391016941E-1,1.616161051E0,3.358089997E0
6.736608751E-1,2.390478876E0,1.203257067E0,-1.012228459E0,2.861262532E0
6.836648750E-1,2.071887484E0,1.863885505E0,-2.928576790E0,4.042690804E0
6.936698750E-1,1.749873717E0,1.978243887E0,-3.545176206E0,4.420834902E0
7.036738751E-1,2.314010451E0,1.508497146E0,-3.244778425E0,4.261313769E0
7.136778750E-1,4.151624270E0,2.331835542E0,-1.606444148E0,5.025346145E0
7.236828750E-1,6.161113485E0,3.863199833E0,2.892190152E0,7.826135457E0
7.336868750E-1,3.671473140E0,2.241601164E0,3.696792753E0,5.671928020E0
7.436908750E-1,8.378128861E-1,1.027238846E-2,1.300501453E0,1.547042334E0
7.536958751E-1,-2.404078622E0,-1.146926380E0,-1.892960054E-1,2.670368349E0
7.636998750E-1,-3.124010033E0,-2.108918193E0,-2.938404205E0,4.779246165E0
7.737048750E-1,-3.414660505E0,-3.078511094E0,-4.973943350E0,6.773274642E0
7.837088751E-1,-3.424028329E0,-3.467993836E0,-4.772692128E0,6.821256585E0
7.937128750E-1,-2.519231349E0,-2.640627732E0,-3.803680440E0,5.271378026E0
8.037178750E-1,-1.981640096E0,-1.085677527E0,-3.622850618E0,4.269735327E0
8.137218750E-1,-1.645186629E0,-1.071214293E-1,-4.228140349E0,4.538202823E0
8.237258750E-1,-1.004201109E0,1.972112350E-1,-4.271506224E0,4.392388594E0
8.337308750E-1,-1.694564027E-1,-3.560118181E-1,-3.930603611E0,3.950329687E0
8.437348750E-1,-9.926122195E-1,-6.036865707E-1,-2.773101665E0,3.006627569E0
8.537388750E-1,-2.554174309E0,-6.824697617E-1,-1.830615286E0,3.215699567E0
8.637438751E-1,-3.162685272E0,-1.409431426E0,-1.278082643E0,3.690876632E0
8.737478750E-1,-3.548527830E0,-2.441395407E0,-1.169536101E0,4.463213638E0
8.837518750E-1,-3.856138151E0,-3.187772750E0,-1.407199690E0,5.197298097E0
8.937568751E-1,-3.856554472E0,-3.363330138E0,-1.715643824E0,5.397076592E0
9.037608750E-1,-3.754029393E0,-2.908054525E0,-1.919772461E0,5.122015629E0
9.137658750E-1,-3.201727130E0,-1.876303821E0,-1.904244010E0,4.171057168E0
9.237698750E-1,-2.284138196E0,-6.405480029E-1,-1.933768941E0,3.060563896E0
9.337738750E-1,-1.235175775E0,1.373546040E-1,-2.035996397E0,2.385331593E0
9.437788751E-1,-5.334449923E-1,7.490604848E-2,-1.688524730E0,1.772368539E0
9.537828750E-1,-1.961571282E-1,-3.637329201E-1,-5.785957298E-1,7.110219931E-1
9.637868750E-1,-1.132155436E-1,-9.651224121E-1,1.893704989E0,2.128473071E0
9.737918751E-1,-2.320378069E0,-2.460555417E0,6.864366297E0,7.652320694E0
9.837958750E-1,-2.355121640E0,-3.161401808E0,9.946840049E0,1.069956477E1
9.937998750E-1,1.306121212E0,-2.765886785E0,9.865716949E0,1.032901027E1
1.003804875E0,9.773311061E-1,-2.009807741E0,1.013607466E1,1.037952372E1
1.013808875E0,4.152273311E0,-2.273492828E-1,7.879086839E0,8.909156568E0
1.023812875E0,6.607057233E0,1.616742556E0,5.526524525E0,8.764104923E0
1.033817875E0,7.102704070E0,2.346413528E0,3.466800127E0,8.244559701E0
1.043821875E0,6.802610929E0,3.423340697E0,1.761203282E0,7.816432305E0
1.053825875E0,6.123729896E0,4.166796918E0,4.888506174E-1,7.423020902E0
1.063830875E0,7.294033737E0,3.459027716E0,7.652110791E-1,8.108843868E0
1.073834875E0,9.617103279E0,2.524575704E0,2.322412316E0,1.021057084E1
1.083839875E0,1.111582827E1,2.629346406E0,3.636482817E0,1.198745627E1
1.093843875E0,1.178894453E1,2.812101716E0,4.050648118E0,1.277868848E1
1.103847875E0,1.251622940E1,2.727158337E0,3.941551353E0,1.340258251E1
1.113852875E0,1.378923373E1,3.631804460E0,3.009580023E0,1.457362489E1
1.123856875E0,1.412635729E1,5.022985117E0,5.191279386E-1,1.500179468E1
1.133860875E0,1.191537186E1,4.615998150E0,-2.023260723E0,1.293743055E1
1.143865875E0,7.638145886E0,1.081944226E0,-2.163259876E0,8.011964127E0
1.153869875E0,4.490238283E0,1.449676203E0,-4.987547482E0,6.865816107E0
1.163873875E0,1.641728586E0,1.929825433E0,-5.930363644E0,6.448931066E0
1.173878875E0,-6.368787289E-3,3.419604472E-1,-3.623282143E0,3.639388822E0
1.183882875E0,-4.913771993E-1,-3.912698706E-1,-3.089630744E0,3.152833931E0
1.193886875E0,6.824940276E-1,-5.739940441E-1,-3.568103138E0,3.677856341E0
1.203891875E0,2.914294381E0,-9.686164159E-1,-1.614215244E0,3.469440928E0
1.213895875E0,3.155655749E0,-2.988411786E-1,8.488728945E-1,3.281471384E0
1.223899875E0,3.471005445E0,1.372750234E0,5.466789955E-1,3.772423614E0
1.233904875E0,3.328141009E0,9.055779494E-1,1.678367824E0,3.835819671E0
1.243908875E0,1.122858363E0,1.595595516E-1,-1.280119521E0,1.710256163E0
1.253912875E0,6.496315062E-2,-1.871426951E-1,-1.695139539E0,1.706675322E0
1.263917875E0,-1.063681617E0,-1.341664389E0,7.410410285E-2,1.713759999E0
1.273921875E0,-2.243526945E0,-2.522561338E0,9.768171358E-1,3.514384807E0
1.283926875E0,-2.885241321E0,-2.826984634E0,2.727153075E0,4.873789439E0
1.293930875E0,-1.935133681E0,-2.776774886E0,5.704220824E0,6.632748777E0
1.303934875E0,-1.232255675E0,-2.945471735E0,4.302778888E0,5.357999995E0
1.313939875E0,-1.957159558E0,-1.006159633E0,8.638924912E-1,2.364136413E0
1.323943875E0,-4.196323310E0,2.034357715E0,-6.284918336E0,7.826106255E0
1.333947875E0,-3.076009655E0,3.663898365E0,-9.107962239E0,1.028790371E1
1.343952875E0,-8.032904863E-3,2.926470038E0,-4.589976871E0,5.443544718E0
1.353956875E0,3.652445716E-1,1.809346039E0,-1.905047710E0,2.652610689E0
1.363960875E0,2.097226685E0,8.656522838E-1,1.038277804E0,2.495142169E0
1.373965875E0,2.981004095E-1,1.071025720E-1,5.202843132E0,5.212476520E0
1.383969875E0,-6.383095425E0,8.983553955E-1,4.967019662E-1,6.465111172E0
1.393973875E0,-3.645323807E-1,5.639197301E-1,2.638445551E0,2.722551054E0
1.403978875E0,-1.322870561E0,2.477186798E-1,1.996617739E0,2.407869070E0
1.413982875E0,-7.442841867E0,2.952829579E0,-1.264376887E1,1.496596100E1
1.423986875E0,-4.893445902E0,3.440288851E0,-3.240148015E0,6.802937552E0
1.433991875E0,-3.811712176E0,3.119952065E0,-2.561814281E0,5.552129592E0
1.443995875E0,-3.271886117E0,3.318863817E0,-1.778411637E0,4.988270617E0
