"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.380416797E-4,6.004114721E-2,9.056704085E-1,-3.871383011E-1,9.867724623E-1
9.865958244E-3,9.749529704E-1,1.304241478E0,-1.941350441E0,2.533854902E0
1.987095829E-2,1.085597566E0,1.253064162E0,-2.265328288E0,2.807205750E0
2.987495833E-2,5.830279923E-1,1.158599908E0,-1.852485042E0,2.261410228E0
3.987995826E-2,-9.337729309E-3,1.050680918E0,-1.029587672E0,1.471077279E0
4.988395830E-2,1.901350077E-2,5.820477797E-1,-1.744598651E-1,6.079287587E-1
5.988895835E-2,3.978229183E-1,1.265976276E-1,3.801906395E-1,5.646547228E-1
6.989295827E-2,5.571695947E-1,1.402194473E-1,7.833789629E-1,9.714844570E-1
7.989795832E-2,7.177150235E-1,4.248290147E-1,9.783900368E-1,1.285628878E0
8.990195824E-2,6.856266003E-1,7.934521075E-1,8.847345990E-1,1.372007796E0
9.990695829E-2,4.344368671E-1,1.153490757E0,6.454185873E-1,1.391345202E0
1.099109583E-1,1.824842367E-1,1.299219304E0,1.716853613E-1,1.323158026E0
1.199159583E-1,-4.683304536E-2,1.207587296E0,-4.590619773E-1,1.292748355E0
1.299199583E-1,-2.307465334E-1,1.101752838E0,-1.052819830E0,1.541276378E0
1.399249583E-1,-2.418909427E-1,9.547813189E-1,-1.469200056E0,1.768803946E0
1.499289583E-1,-1.030737491E-1,6.809610339E-1,-1.773543538E0,1.902574258E0
1.599339583E-1,-7.936683448E-2,5.600160559E-1,-1.966923239E0,2.046632381E0
1.699379582E-1,-2.914457665E-1,7.041294564E-1,-1.940768058E0,2.085022681E0
1.799419583E-1,-5.908192975E-1,9.502342317E-1,-1.605408606E0,1.956872333E0
1.899469583E-1,-8.605240564E-1,1.063863758E0,-9.288097411E-1,1.653782115E0
1.999509583E-1,-8.658549629E-1,1.035319698E0,-1.994257218E-1,1.364317526E0
2.099559583E-1,-5.026568803E-1,8.297697486E-1,3.749322385E-1,1.040074977E0
2.199599583E-1,-1.331908474E-2,6.260425226E-1,6.781436992E-1,9.230306143E-1
2.299649583E-1,2.189731830E-1,5.858366293E-1,6.526515931E-1,9.039402154E-1
2.399689583E-1,1.302814282E-1,6.887360765E-1,4.309859866E-1,8.228484394E-1
2.499739582E-1,-1.265717902E-1,7.853877738E-1,9.905358732E-2,8.016645099E-1
2.599779583E-1,-4.599750931E-1,8.687240455E-1,-1.790206933E-1,9.991531224E-1
2.699829583E-1,-6.535092334E-1,8.406113635E-1,-1.776413351E-1,1.079471272E0
2.799869583E-1,-7.156932756E-1,7.009564649E-1,2.716072601E-1,1.037943801E0
2.899919583E-1,-6.011751550E-1,4.753507121E-1,8.785844976E-1,1.165881892E0
2.999959583E-1,-3.594007546E-1,2.572476679E-1,1.326432685E0,1.398130513E0
3.100009583E-1,-9.017894835E-2,4.740293875E-2,1.479985245E0,1.483487650E0
3.200049583E-1,-4.686684958E-2,-6.508243382E-2,1.490530699E0,1.492686836E0
3.300099582E-1,-1.713700136E-1,-3.805543363E-2,1.491192604E0,1.501489687E0
3.400139583E-1,-3.253716771E-1,-5.826662689E-2,1.462310867E0,1.499204722E0
3.500189583E-1,-4.487749708E-1,-2.613698088E-1,1.089818671E0,1.207235639E0
3.600229583E-1,-5.182932120E-1,-4.352125002E-1,3.183697826E-1,7.479285343E-1
3.700279583E-1,-5.619111384E-1,-4.579783420E-1,-5.324556434E-1,8.994427728E-1
3.800319583E-1,-5.440782636E-1,-4.035378407E-1,-1.381309973E0,1.538467155E0
3.900369583E-1,-5.324189156E-1,-3.247338921E-1,-2.115927250E0,2.205917073E0
4.000409583E-1,-5.431292970E-1,-1.869156039E-1,-2.541681733E0,2.605776834E0
4.100459582E-1,-5.651435889E-1,-2.420951933E-2,-2.492389120E0,2.555773250E0
4.200499583E-1,-5.306569668E-1,7.311694667E-2,-1.917144138E0,1.990573924E0
4.300539583E-1,-3.674615434E-1,4.410554767E-2,-1.075528076E0,1.137424252E0
4.400589583E-1,-1.143199730E-1,-1.557951142E-1,-2.639824909E-1,3.271512331E-1
4.500629583E-1,2.025989692E-1,-5.003166419E-1,2.882811803E-1,6.119388232E-1
4.600679583E-1,4.242610308E-1,-7.702001428E-1,6.712854999E-1,1.106268460E0
4.700719583E-1,4.057785668E-1,-7.552814106E-1,1.078499047E0,1.377775906E0
4.800769583E-1,3.366368497E-1,-5.162552015E-1,1.516302887E0,1.636770676E0
4.900809583E-1,4.002356622E-1,-1.859103213E-1,1.905596471E0,1.956028922E0
5.000859583E-1,5.093267626E-1,1.015475710E-1,2.108615307E0,2.171631685E0
5.100899583E-1,6.880330950E-1,2.882476319E-1,2.058096533E0,2.189117991E0
5.200949583E-1,8.319842353E-1,3.292423146E-1,1.733573726E0,1.950865483E0
5.300989583E-1,8.551687378E-1,2.591828770E-1,1.094785881E0,1.413168588E0
5.401039583E-1,6.696054487E-1,2.714834453E-1,3.504932159E-1,8.030692451E-1
5.501079583E-1,2.750673500E-1,3.007013241E-1,-1.626058048E-1,4.387755475E-1
5.601129583E-1,-6.240433596E-2,3.014638010E-1,-5.049567729E-1,5.914017814E-1
5.701169583E-1,-3.200584584E-1,3.057046404E-1,-6.524410933E-1,7.883984552E-1
5.801219583E-1,-4.253059282E-1,3.844129870E-1,-6.993030185E-1,9.042583639E-1
5.901259583E-1,-3.788687302E-1,4.493050940E-1,-7.234251219E-1,9.320732209E-1
6.001309582E-1,-3.013081920E-1,4.505758401E-1,-6.739120692E-1,8.648483632E-1
6.101349583E-1,-1.464767721E-1,4.033339921E-1,-6.269033790E-1,7.596983615E-1
6.201399583E-1,-6.942742668E-2,2.861668271E-1,-6.797645473E-1,7.408046033E-1
6.301439583E-1,-9.298249640E-2,1.020651957E-1,-8.202795714E-1,8.318182639E-1
6.401489583E-1,-5.877248414E-2,-1.440855532E-1,-9.978215039E-1,1.009882471E0
6.501529583E-1,2.698731221E-2,-3.740631229E-1,-9.866164845E-1,1.055492123E0
6.601579583E-1,1.005100556E-1,-5.331569438E-1,-7.232251471E-1,9.041090706E-1
6.701619583E-1,1.665736523E-1,-6.950429564E-1,-7.916346467E-1,1.066544376E0
6.801659582E-1,3.479120357E-1,-8.315880865E-1,-8.868881285E-1,1.264575851E0
6.901709583E-1,5.263621869E-1,-7.873881794E-1,-7.157793027E-1,1.187171979E0
7.001749583E-1,5.506115404E-1,-6.274429308E-1,-3.514615148E-1,9.057499082E-1
7.101799583E-1,3.974303509E-1,-5.725510244E-1,-7.126235604E-2,7.006025141E-1
7.201839583E-1,1.751091253E-1,-6.902695088E-1,-1.213998914E-2,7.122377271E-1
7.301892500E-1,1.282833798E-1,-8.804810420E-1,-4.428096414E-2,8.908783837E-1
7.401932500E-1,1.873612713E-1,-1.107987286E0,-1.423995817E-1,1.132703718E0
7.501982499E-1,3.662120299E-1,-1.335172810E0,-2.925122255E-1,1.415048086E0
7.602022500E-1,4.014620060E-1,-1.467768950E0,-5.786153179E-1,1.627978231E0
7.702072499E-1,2.645339199E-1,-1.377196311E0,-9.219293225E-1,1.678273383E0
7.802112499E-1,1.970427256E-1,-1.095848466E0,-1.089467838E0,1.557770801E0
7.902162500E-1,2.729758009E-1,-8.270966940E-1,-1.144251571E0,1.438025169E0
8.002202499E-1,3.923096883E-1,-7.289013317E-1,-1.326458997E0,1.563552850E0
8.102252500E-1,5.482678302E-1,-7.205804515E-1,-1.621096101E0,1.856821577E0
8.202292500E-1,3.581931219E-1,-6.459954152E-1,-2.170164269E0,2.292427827E0
8.302342499E-1,-1.746516172E-1,-4.270513952E-1,-3.151826407E0,3.185417678E0
8.402382500E-1,1.801627642E-1,1.107374936E-2,-3.092947869E0,3.098210414E0
8.502432499E-1,9.996331175E-1,2.279566258E-2,-2.201140478E0,2.417603238E0
8.602472499E-1,1.426059299E0,-1.246442190E-1,-7.994740087E-1,1.639615808E0
8.702512500E-1,1.598619842E0,-1.001154417E-1,4.160831881E-1,1.654911998E0
8.802562499E-1,1.417346071E0,-3.861778960E-2,1.178606887E0,1.843766637E0
