"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.545500010E-3,1.896787056E-1,1.134833461E0,-1.562338600E0,1.940290416E0
1.154950005E-2,5.910307109E-2,1.102887198E0,-2.146487723E0,2.413972429E0
2.155350009E-2,1.469171405E-1,1.058957359E0,-2.351064842E0,2.582727478E0
3.155850002E-2,2.301689199E-1,1.090554543E0,-2.077422166E0,2.357534687E0
4.156250006E-2,3.789636013E-1,1.256047996E0,-1.327035533E0,1.866090374E0
5.156649998E-2,5.885719568E-1,1.507640237E0,-6.161766618E-1,1.731782235E0
6.157150003E-2,8.130772635E-1,1.358671016E0,-3.475620067E-1,1.621074000E0
7.157550007E-2,8.457380560E-1,1.048239413E0,-4.783800083E-1,1.429309679E0
8.158050000E-2,1.253919902E0,1.476130176E0,-2.780046988E-1,1.956671160E0
9.158450004E-2,1.458490004E0,1.754539795E0,3.935351551E-2,2.281918421E0
1.015885001E-1,9.848877552E-1,1.529411175E0,6.070889193E-1,1.917722448E0
1.115935000E-1,5.525007758E-1,7.517873338E-1,9.711593699E-1,1.346696634E0
1.215975001E-1,1.656808555E-1,2.883551475E-1,1.533341673E0,1.568991881E0
1.316025000E-1,1.114181095E-1,3.295071204E-1,1.806018974E0,1.839210013E0
1.416065000E-1,3.024668178E-1,3.587214178E-1,1.385674335E0,1.462962950E0
1.516105001E-1,6.076335874E-1,5.561409599E-1,5.561257571E-1,9.938748420E-1
1.616155000E-1,1.187668025E0,8.157237133E-1,-4.319203717E-1,1.504166121E0
1.716195000E-1,1.311552398E0,1.160454791E0,-1.286711379E0,2.173120150E0
1.816235001E-1,1.210247925E0,1.374362896E0,-1.795788685E0,2.564845105E0
1.916285000E-1,1.001606114E0,1.395083382E0,-1.944528987E0,2.594352604E0
2.016325000E-1,3.618315518E-2,1.414397320E0,-2.121785576E0,2.550255483E0
2.116375001E-1,-6.925535774E-1,1.566189869E0,-2.217314461E0,2.801618208E0
2.216415000E-1,-8.904715946E-1,1.558005813E0,-1.972246544E0,2.666472990E0
2.316455001E-1,-1.515156540E0,1.165140457E0,-1.144344542E0,2.227728901E0
2.416505000E-1,-3.339838949E0,1.183963960E0,5.450347584E0,6.500967901E0
2.516545000E-1,-3.391511378E0,9.049143635E-1,5.171775121E0,6.250478169E0
